plot_row,plot_column,plant_id,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,plot_id,Notes,x_of_y,plot_plan_tag,plot_plan_con,plot_plan_barcode,plot_plan_end
5 && 6 && 7 && 8,11,PI_550604,128,126,132,0.29,0.18,0.16,32,32,28,0.28782,0.07406,0.083589,0.31048,0.54676,,24.9722,,340673.904 && 340673.2085 && 340672.206 && 340671.511,3832690.315 && 3832690.55 && 3832690.87 && 3832691.105,PHOTOPERIOD_INSENSITIVE,GRAIN,Former Soviet Union,Caudatum,SF-BE-r1-p0481 && SF-BE-r1-p0482 && SF-BE-r1-p0483 && SF-BE-r1-p0484,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0481 && BMS.SF-BE-r1-p0483 && PAN.SF-BE-r1-p0483 && LEF.SF-BE-r1-p0483,ANTHESIS && MATURITY
5 && 6 && 7 && 8,12,PI_534165,66,66,64,0.18,0.12,0.09,13,12,13,0.56239,0.063039,0.084007,0.31519,0.52646,,2.0267,,340675.467 && 340674.771 && 340673.808 && 340673.1125,3832694.725 && 3832694.96 && 3832695.385 && 3832695.62,PHOTOPERIOD_INSENSITIVE,GRAIN,Sudan,,SF-BE-r1-p0529 && SF-BE-r1-p0530 && SF-BE-r1-p0531 && SF-BE-r1-p0532,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0529 && BMS.SF-BE-r1-p0531 && PAN.SF-BE-r1-p0531 && LEF.SF-BE-r1-p0531,ANTHESIS && MATURITY
5 && 6 && 7 && 8,13,PI_542718,125,146,141,0.28,0.12,0.11,22,20,16,0.74121,0.053309,0.066102,0.30079,0.82874,,30.1549,,340676.963 && 340676.2675 && 340675.351 && 340674.6555,3832698.95 && 3832699.185 && 3832699.73 && 3832699.965,PHOTOPERIOD_INSENSITIVE,GRAIN,China,,SF-BE-r1-p0577 && SF-BE-r1-p0578 && SF-BE-r1-p0579 && SF-BE-r1-p0580,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0577 && BMS.SF-BE-r1-p0579 && PAN.SF-BE-r1-p0579 && LEF.SF-BE-r1-p0579,ANTHESIS && MATURITY
5 && 6 && 7 && 8,14,PI_655972,132,128,127,0.18,0.15,0.15,21,20,16,0.027001,0.058191,0.061004,0.27379,0.59966,,38.0762,,340678.364 && 340677.67 && 340676.8255 && 340676.1315,3832702.9 && 3832703.14 && 3832703.88 && 3832704.12,PHOTOPERIOD_INSENSITIVE,Cellulosic,,,SF-BE-r1-p0625 && SF-BE-r1-p0626 && SF-BE-r1-p0627 && SF-BE-r1-p0628,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0625 && BMS.SF-BE-r1-p0627 && PAN.SF-BE-r1-p0627 && LEF.SF-BE-r1-p0627,ANTHESIS && MATURITY
5 && 6 && 7 && 8,15,PI_656015,143,142,140,0.55,0.39,0.36,17,17,17,0.43038,0.048201,0.062465,0.20947,0.60199,,21.6823,,340679.916 && 340679.2215 && 340678.363 && 340677.6685,3832707.28 && 3832707.52 && 3832708.215 && 3832708.455,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0673 && SF-BE-r1-p0674 && SF-BE-r1-p0675 && SF-BE-r1-p0676,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0673 && BMS.SF-BE-r1-p0675 && PAN.SF-BE-r1-p0675 && LEF.SF-BE-r1-p0675,ANTHESIS && MATURITY
5 && 6 && 7 && 8,16,PI_561840,,,,,,,,,,0.68343,0.049017,0.061036,0.26723,0.6339,,26.6683,,340681.489 && 340680.793 && 340679.8785 && 340679.1825,3832711.725 && 3832711.96 && 3832712.485 && 3832712.72,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p0721 && SF-BE-r1-p0722 && SF-BE-r1-p0723 && SF-BE-r1-p0724,Mixed plot,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0721 && BMS.SF-BE-r1-p0723 && PAN.SF-BE-r1-p0723 && LEF.SF-BE-r1-p0723,ANTHESIS && MATURITY
5 && 6 && 7 && 8,17,PI_527045,117,124,128,0.60,0.42,0.35,20,20,20,0.37653,0.064795,0.069093,0.31943,0.59269,,52.7159,,340683.0355 && 340682.339 && 340681.417 && 340680.72,3832716.09 && 3832716.325 && 3832716.82 && 3832717.055,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum,SF-BE-r1-p0769 && SF-BE-r1-p0770 && SF-BE-r1-p0771 && SF-BE-r1-p0772,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0769 && BMS.SF-BE-r1-p0771 && PAN.SF-BE-r1-p0771 && LEF.SF-BE-r1-p0771,ANTHESIS && MATURITY
5 && 6 && 7 && 8,18,PI_533998,79,74,70,0.10,0.04,0.03,15,17,21,0.72262,0.05247,0.062203,0.25422,0.4396,,2.2984,,340684.546 && 340683.8495 && 340682.9195 && 340682.223,3832720.355 && 3832720.585 && 3832721.05 && 3832721.285,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p0817 && SF-BE-r1-p0818 && SF-BE-r1-p0819 && SF-BE-r1-p0820,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0817 && BMS.SF-BE-r1-p0819 && PAN.SF-BE-r1-p0819 && LEF.SF-BE-r1-p0819,ANTHESIS && MATURITY
5 && 6 && 7 && 8,19,PI_535794,114,107,108,0.23,0.22,0.19,21,19,19,0.53085,0.059945,0.079281,0.2199,0.66792,,36.1488,,340686.0475 && 340685.351 && 340684.433 && 340683.7365,3832724.59 && 3832724.825 && 3832725.315 && 3832725.55,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p0865 && SF-BE-r1-p0866 && SF-BE-r1-p0867 && SF-BE-r1-p0868,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0865 && BMS.SF-BE-r1-p0867 && PAN.SF-BE-r1-p0867 && LEF.SF-BE-r1-p0867,ANTHESIS && MATURITY
5 && 6 && 7 && 8,20,PI_576401,84,91,92,0.55,0.48,0.42,16,18,17,0.12959,0.050175,0.062394,0.30164,0.5662,,17.4795,,340687.6225 && 340686.926 && 340686.0245 && 340685.3275,3832729.035 && 3832729.27 && 3832729.8 && 3832730.035,PHOTOPERIOD_INSENSITIVE,GRAIN,India,,SF-BE-r1-p0913 && SF-BE-r1-p0914 && SF-BE-r1-p0915 && SF-BE-r1-p0916,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0913 && BMS.SF-BE-r1-p0915 && PAN.SF-BE-r1-p0915 && LEF.SF-BE-r1-p0915,ANTHESIS && MATURITY
5 && 6 && 7 && 8,21,PI_154988,158,133,141,0.34,0.26,0.21,24,25,20,0.1392,0.063869,0.070159,0.25045,0.5252,,30.584,,340689.203 && 340688.505 && 340687.6175 && 340686.9195,3832733.495 && 3832733.73 && 3832734.29 && 3832734.52,PHOTOPERIOD_INSENSITIVE,Cellulosic,Swaziland,,SF-BE-r1-p0961 && SF-BE-r1-p0962 && SF-BE-r1-p0963 && SF-BE-r1-p0964,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0961 && BMS.SF-BE-r1-p0963 && PAN.SF-BE-r1-p0963 && LEF.SF-BE-r1-p0963,ANTHESIS && MATURITY
5 && 6 && 7 && 8,22,PI_535796,155,147,135,0.34,0.28,0.28,14,18,16,0.54648,0.054313,0.068524,0.17627,0.47105,,24.7086,,340690.7245 && 340690.026 && 340689.121 && 340688.423,3832737.795 && 3832738.025 && 3832738.525 && 3832738.755,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p1009 && SF-BE-r1-p1010 && SF-BE-r1-p1011 && SF-BE-r1-p1012,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1009 && BMS.SF-BE-r1-p1011 && PAN.SF-BE-r1-p1011 && LEF.SF-BE-r1-p1011,ANTHESIS && MATURITY
5 && 6 && 7 && 8,23,PI_533792,,,,,,,,,,0.11506,0.061407,0.048492,0.24339,0.44951,,0.60349,,340692.2285 && 340691.531 && 340690.628 && 340689.9305,3832742.035 && 3832742.27 && 3832742.77 && 3832743.005,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,,SF-BE-r1-p1057 && SF-BE-r1-p1058 && SF-BE-r1-p1059 && SF-BE-r1-p1060,Mixed plot?,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1057 && BMS.SF-BE-r1-p1059 && PAN.SF-BE-r1-p1059 && LEF.SF-BE-r1-p1059,ANTHESIS && MATURITY
5 && 6 && 7 && 8,24,PI_152828,133,130,140,0.50,0.43,0.42,20,18,15,0.10414,0.026803,0.067863,0.38546,0.71988,,29.4093,,340693.78 && 340693.082 && 340692.1885 && 340691.4905,3832746.415 && 3832746.65 && 3832747.165 && 3832747.395,PHOTOPERIOD_INSENSITIVE,Cellulosic,Zaire,,SF-BE-r1-p1105 && SF-BE-r1-p1106 && SF-BE-r1-p1107 && SF-BE-r1-p1108,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1105 && BMS.SF-BE-r1-p1107 && PAN.SF-BE-r1-p1107 && LEF.SF-BE-r1-p1107,ANTHESIS && MATURITY
5 && 6 && 7 && 8,25,PI_655978,82,81,87,0.13,0.09,0.08,22,21,23,0.62291,0.053275,0.058498,0.40779,0.58007,,2.3654,,340695.312 && 340694.614 && 340693.739 && 340693.0405,3832750.745 && 3832750.975 && 3832751.535 && 3832751.77,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p1153 && SF-BE-r1-p1154 && SF-BE-r1-p1155 && SF-BE-r1-p1156,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1153 && BMS.SF-BE-r1-p1155 && PAN.SF-BE-r1-p1155 && LEF.SF-BE-r1-p1155,ANTHESIS && MATURITY
5 && 6 && 7 && 8,26,PI_329435,96,88,99,0.12,0.04,0.03,22,26,23,0.38981,0.052506,0.071839,0.18311,0.61234,,1.4286,,340696.822 && 340696.1245 && 340695.238 && 340694.54,3832755.005 && 3832755.24 && 3832755.76 && 3832755.995,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,,SF-BE-r1-p1201 && SF-BE-r1-p1202 && SF-BE-r1-p1203 && SF-BE-r1-p1204,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1201 && BMS.SF-BE-r1-p1203 && PAN.SF-BE-r1-p1203 && LEF.SF-BE-r1-p1203,ANTHESIS && MATURITY
5 && 6 && 7 && 8,27,PI_535792,80,78,94,0.41,0.35,0.26,18,21,19,0.35177,0.057339,0.077208,0.11754,0.46843,,1.1053,,340698.359 && 340697.661 && 340696.7635 && 340696.0655,3832759.34 && 3832759.575 && 3832760.055 && 3832760.29,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p1249 && SF-BE-r1-p1250 && SF-BE-r1-p1251 && SF-BE-r1-p1252,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1249 && BMS.SF-BE-r1-p1251 && PAN.SF-BE-r1-p1251 && LEF.SF-BE-r1-p1251,ANTHESIS && MATURITY
5 && 6 && 7 && 8,28,PI_180348,128,138,124,0.22,0.17,0.15,10,9,9,0.55719,0.041535,0.048558,0.16602,0.60501,,4.486,,340699.835 && 340699.1375 && 340698.267 && 340697.569,3832763.51 && 3832763.745 && 3832764.29 && 3832764.525,PHOTOPERIOD_INSENSITIVE,Sweet,India,Durra,SF-BE-r1-p1297 && SF-BE-r1-p1298 && SF-BE-r1-p1299 && SF-BE-r1-p1300,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1297 && BMS.SF-BE-r1-p1299 && PAN.SF-BE-r1-p1299 && LEF.SF-BE-r1-p1299,ANTHESIS && MATURITY
5 && 6 && 7 && 8,29,PI_576399,154,149,158,0.28,0.21,0.20,14,16,17,0.25609,0.037898,0.062287,0.22929,0.56461,,3.145,,340701.277 && 340700.5805 && 340699.7215 && 340699.0255,3832767.895 && 3832768.125 && 3832768.54 && 3832768.77,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,,SF-BE-r1-p1345 && SF-BE-r1-p1346 && SF-BE-r1-p1347 && SF-BE-r1-p1348,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1345 && BMS.SF-BE-r1-p1347 && PAN.SF-BE-r1-p1347 && LEF.SF-BE-r1-p1347,ANTHESIS && MATURITY
5 && 6 && 7 && 8,30,PI_656026,94,103,104,0.20,0.08,0.05,18,21,17,0.53058,0.065825,0.076347,0.29333,0.7881,,27.6882,,340702.7625 && 340702.067 && 340701.213 && 340700.5175,3832772.075 && 3832772.31 && 3832772.74 && 3832772.97,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p1393 && SF-BE-r1-p1394 && SF-BE-r1-p1395 && SF-BE-r1-p1396,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1393 && BMS.SF-BE-r1-p1395 && PAN.SF-BE-r1-p1395 && LEF.SF-BE-r1-p1395,ANTHESIS && MATURITY
5 && 6 && 7 && 8,31,CHECK,214,215,217,0.82,0.59,0.57,40,42,41,0.2901,0.051087,0.057192,0.16515,0.98368,,26.697,,340704.2315 && 340703.5365 && 340702.6975 && 340702.0025,3832776.215 && 3832776.45 && 3832776.915 && 3832777.15,,,,,SF-BE-r1-p1441 && SF-BE-r1-p1442 && SF-BE-r1-p1443 && SF-BE-r1-p1444,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1441 && BMS.SF-BE-r1-p1443 && PAN.SF-BE-r1-p1443 && LEF.SF-BE-r1-p1443,ANTHESIS && MATURITY
5 && 6 && 7 && 8,32,PI_52606,116,119,131,0.49,0.42,0.38,23,20,19,0.61465,0.053799,0.050494,0.22313,0.64487,,6.8828,,340705.7485 && 340705.0535 && 340704.2215 && 340703.527,3832780.49 && 3832780.73 && 3832781.21 && 3832781.445,PHOTOPERIOD_INSENSITIVE,GRAIN,South Africa,Kafir,SF-BE-r1-p1489 && SF-BE-r1-p1490 && SF-BE-r1-p1491 && SF-BE-r1-p1492,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1489 && BMS.SF-BE-r1-p1491 && PAN.SF-BE-r1-p1491 && LEF.SF-BE-r1-p1491,ANTHESIS && MATURITY
9 && 10 && 11 && 12,1,PI_255744,229,233,221,1.35,1.27,1.04,25,24,23,0.98017,0.040373,0.046189,0.16014,0.20227,,59.6752,52.0167,340655.761 && 340655.0705 && 340654.38 && 340653.69,3832648.325 && 3832648.55 && 3832648.775 && 3832649.005,PHOTOPERIOD_INSENSITIVE,Cellulosic,Turkey,,SF-BE-r1-p0005 && SF-BE-r1-p0006 && SF-BE-r1-p0007 && SF-BE-r1-p0008,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0005 && BMS.SF-BE-r1-p0007 && PAN.SF-BE-r1-p0007 && LEF.SF-BE-r1-p0007,ANTHESIS && MATURITY
9 && 10 && 11 && 12,2,PI_586435,140,146,136,0.38,0.34,0.30,18,18,15,0.57169,0.035593,0.06802,0.1795,0.27881,,3.2697,30.2334,340657.2505 && 340656.5615 && 340655.8725 && 340655.1835,3832652.525 && 3832652.755 && 3832652.985 && 3832653.215,PHOTOPERIOD_INSENSITIVE,Sweet,Hungary,Guinea-kafir,SF-BE-r1-p0053 && SF-BE-r1-p0054 && SF-BE-r1-p0055 && SF-BE-r1-p0056,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0053 && BMS.SF-BE-r1-p0055 && PAN.SF-BE-r1-p0055 && LEF.SF-BE-r1-p0055,ANTHESIS && MATURITY
9 && 10 && 11 && 12,3,PI_653617,183,190,182,0.77,0.65,0.63,33,30,31,0.60312,0.035738,0.052494,0.093902,0.47673,,6.1457,25.3552,340658.797 && 340658.107 && 340657.4175 && 340656.728,3832656.885 && 3832657.115 && 3832657.345 && 3832657.575,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0101 && SF-BE-r1-p0102 && SF-BE-r1-p0103 && SF-BE-r1-p0104,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0101 && BMS.SF-BE-r1-p0103 && PAN.SF-BE-r1-p0103 && LEF.SF-BE-r1-p0103,ANTHESIS && MATURITY
9 && 10 && 11 && 12,4,PI_197542,,,,,,,,,,0.87528,0.033839,0.059059,0.08781,0.50044,,4.4515,3.4858,340660.4305 && 340659.736 && 340659.0415 && 340658.3465,3832661.065 && 3832661.295 && 3832661.53 && 3832661.765,PHOTOPERIOD_INSENSITIVE,Cellulosic,Algeria,Bicolor,SF-BE-r1-p0149 && SF-BE-r1-p0150 && SF-BE-r1-p0151 && SF-BE-r1-p0152,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0149 && BMS.SF-BE-r1-p0151 && PAN.SF-BE-r1-p0151 && LEF.SF-BE-r1-p0151,ANTHESIS && MATURITY
