row,range,plant_id,SF16h_HGT1_120,SF16h_HGT2_120,SF16h_HGT3_120,SF16h_TWT_120,SF16h_WTP_120,SF16h_WTL_120,SF16h_PAN1_120,SF16h_PAN2_120,SF16h_PAN3_120,ADF,AD_ICP,Adj_CP,aNDFom,Ash,Crude_protein,DCAD,Dry_Matter,EE_Fat,Lignin,NEG_OARDC,NEL3x_ADF,NEL3x_OARDC,NEM_OARDC,NFC,SPCP,Starch,TDN_OARDC,WSC_Sugar,Cellulose,Hemicellulose,2016_07_13-14_Leaf_Necrosis,2016_07_13-14_vegetation_index,2016_08_05-08_vegetation_index,2016_07_13_BAP_Leaf_Area,2016_07_13_laser_plant_height,2016_07_light_interception,2016_08_light_interception,2016_09_light_interception,SF16h_HGT_120_MEAN,SF16h_HGT_120_STD,SF16h_PAN_120_MEAN,SF16h_PAN_120_STD,gps_eastings_UTMzone17N,gps_northings_UTMzone17N,accession_photoperiod,accession_type,accession_origin,accession_race,plot_id,Notes,x_of_y,plot_plan_tag,plot_plan_con,plot_plan_barcode,plot_plan_end
5 && 6 && 7 && 8,15,PI_656015,143,142,140,0.55,0.39,0.36,17,17,17,45.98,0.85,11.02,71.75,1.94,7.04,3.57,91.5,0.99,5.83,27.71,74.6,57.01,52.25,15.43,-7.11,0.56,65.03,10.22,40.15,28.3,0.43038,0.048201,0.062465,0.20947,0.60199,,21.6823,,141.666666667,1.24721912892,17.0,0.0,340679.916 && 340679.2215 && 340678.363 && 340677.6685,3832707.28 && 3832707.52 && 3832708.215 && 3832708.455,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0673 && SF-BE-r1-p0674 && SF-BE-r1-p0675 && SF-BE-r1-p0676,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0673 && BMS.SF-BE-r1-p0675 && PAN.SF-BE-r1-p0675 && LEF.SF-BE-r1-p0675,ANTHESIS && MATURITY
5 && 6 && 7 && 8,17,PI_527045,117,124,128,0.60,0.42,0.35,20,20,20,47.98,0.82,9.29,74.65,2.15,4.84,4.86,92.31,0.97,7.06,24.12,75.66,54.69,47.56,14.35,-16.53,0.4,63.06,9.49,40.92,28.81,0.37653,0.064795,0.069093,0.31943,0.59269,,52.7159,,123.0,4.54606056566,20.0,0.0,340683.0355 && 340682.339 && 340681.417 && 340680.72,3832716.09 && 3832716.325 && 3832716.82 && 3832717.055,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum,SF-BE-r1-p0769 && SF-BE-r1-p0770 && SF-BE-r1-p0771 && SF-BE-r1-p0772,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0769 && BMS.SF-BE-r1-p0771 && PAN.SF-BE-r1-p0771 && LEF.SF-BE-r1-p0771,ANTHESIS && MATURITY
5 && 6 && 7 && 8,19,PI_535794,114,107,108,0.23,0.22,0.19,21,19,19,45.79,0.85,10.54,71.4,2.52,5.77,7.51,90.26,1.08,5.4,28.02,85.13,57.53,52.4,16.67,-34.44,0.09,68.59,10.29,40.39,27.68,0.53085,0.059945,0.079281,0.2199,0.66792,,36.1488,,109.666666667,3.09120616517,19.6666666667,0.942809041582,340686.0475 && 340685.351 && 340684.433 && 340683.7365,3832724.59 && 3832724.825 && 3832725.315 && 3832725.55,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p0865 && SF-BE-r1-p0866 && SF-BE-r1-p0867 && SF-BE-r1-p0868,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0865 && BMS.SF-BE-r1-p0867 && PAN.SF-BE-r1-p0867 && LEF.SF-BE-r1-p0867,ANTHESIS && MATURITY
5 && 6 && 7 && 8,20,PI_576401,84,91,92,0.55,0.48,0.42,16,18,17,34.8,0.73,12.2,58.82,3.79,12.2,28.51,90.46,1.02,4.81,34.92,72.69,60.94,61.25,26.62,95.33,0.2,62.81,13.11,29.99,27.71,0.12959,0.050175,0.062394,0.30164,0.5662,,17.4795,,89.0,3.55902608401,17.0,0.816496580928,340687.6225 && 340686.926 && 340686.0245 && 340685.3275,3832729.035 && 3832729.27 && 3832729.8 && 3832730.035,PHOTOPERIOD_INSENSITIVE,GRAIN,India,,SF-BE-r1-p0913 && SF-BE-r1-p0914 && SF-BE-r1-p0915 && SF-BE-r1-p0916,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0913 && BMS.SF-BE-r1-p0915 && PAN.SF-BE-r1-p0915 && LEF.SF-BE-r1-p0915,ANTHESIS && MATURITY
5 && 6 && 7 && 8,21,PI_154988,158,133,141,0.34,0.26,0.21,24,25,20,47.57,0.79,9.15,74.7,1.72,6.16,17.47,92.24,1,4.57,28.72,72.38,58,52.34,13.24,-8.27,0.28,63.34,8.91,43,28.91,0.1392,0.063869,0.070159,0.25045,0.5252,,30.584,,144.0,10.4243305141,23.0,2.16024689947,340689.203 && 340688.505 && 340687.6175 && 340686.9195,3832733.495 && 3832733.73 && 3832734.29 && 3832734.52,PHOTOPERIOD_INSENSITIVE,Cellulosic,Swaziland,,SF-BE-r1-p0961 && SF-BE-r1-p0962 && SF-BE-r1-p0963 && SF-BE-r1-p0964,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0961 && BMS.SF-BE-r1-p0963 && PAN.SF-BE-r1-p0963 && LEF.SF-BE-r1-p0963,ANTHESIS && MATURITY
5 && 6 && 7 && 8,22,PI_535796,155,147,135,0.34,0.28,0.28,14,18,16,27.65,0.49,5.12,49.35,2.28,3.65,24.17,91.48,0.78,4.71,38.3,69.41,66.08,64.38,39.84,31.41,1.02,67.15,29.68,22.94,24.33,0.54648,0.054313,0.068524,0.17627,0.47105,,24.7086,,145.666666667,8.21921867063,16.0,1.63299316186,340690.7245 && 340690.026 && 340689.121 && 340688.423,3832737.795 && 3832738.025 && 3832738.525 && 3832738.755,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p1009 && SF-BE-r1-p1010 && SF-BE-r1-p1011 && SF-BE-r1-p1012,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1009 && BMS.SF-BE-r1-p1011 && PAN.SF-BE-r1-p1011 && LEF.SF-BE-r1-p1011,ANTHESIS && MATURITY
5 && 6 && 7 && 8,24,PI_152828,133,130,140,0.50,0.43,0.42,20,18,15,35.48,0.67,6.92,62.11,3.62,5.66,19.71,91.31,0.93,5.91,31.2,70.95,59.54,55.69,26.93,23.95,0.57,64.25,18.34,29.57,28.11,0.10414,0.026803,0.067863,0.38546,0.71988,,29.4093,,134.333333333,4.18993502999,17.6666666667,2.05480466766,340693.78 && 340693.082 && 340692.1885 && 340691.4905,3832746.415 && 3832746.65 && 3832747.165 && 3832747.395,PHOTOPERIOD_INSENSITIVE,Cellulosic,Zaire,,SF-BE-r1-p1105 && SF-BE-r1-p1106 && SF-BE-r1-p1107 && SF-BE-r1-p1108,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1105 && BMS.SF-BE-r1-p1107 && PAN.SF-BE-r1-p1107 && LEF.SF-BE-r1-p1107,ANTHESIS && MATURITY
5 && 6 && 7 && 8,25,PI_655978,82,81,87,0.13,0.09,0.08,22,21,23,46.79,0.88,11.58,70.65,1.6,7.62,-2.84,90.05,1.08,4.95,30.81,79.82,59.36,56.09,16.98,-3.97,0.16,68.76,12.47,41.84,26.53,0.62291,0.053275,0.058498,0.40779,0.58007,,2.3654,,83.3333333333,2.62466929134,22.0,0.816496580928,340695.312 && 340694.614 && 340693.739 && 340693.0405,3832750.745 && 3832750.975 && 3832751.535 && 3832751.77,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p1153 && SF-BE-r1-p1154 && SF-BE-r1-p1155 && SF-BE-r1-p1156,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1153 && BMS.SF-BE-r1-p1155 && PAN.SF-BE-r1-p1155 && LEF.SF-BE-r1-p1155,ANTHESIS && MATURITY
5 && 6 && 7 && 8,27,PI_535792,80,78,94,0.41,0.35,0.26,18,21,19,42.13,0.74,10.17,68.9,2.35,7.79,17.22,91.72,1,5.55,30.2,74.07,58.2,53.68,18.44,25.87,0.34,65,11.28,36.58,28.71,0.35177,0.057339,0.077208,0.11754,0.46843,,1.1053,,84.0,7.11805216802,19.3333333333,1.24721912892,340698.359 && 340697.661 && 340696.7635 && 340696.0655,3832759.34 && 3832759.575 && 3832760.055 && 3832760.29,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p1249 && SF-BE-r1-p1250 && SF-BE-r1-p1251 && SF-BE-r1-p1252,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1249 && BMS.SF-BE-r1-p1251 && PAN.SF-BE-r1-p1251 && LEF.SF-BE-r1-p1251,ANTHESIS && MATURITY
5 && 6 && 7 && 8,29,PI_576399,154,149,158,0.28,0.21,0.20,14,16,17,39.26,0.69,7.81,66.29,3.21,4.8,17.78,92.19,0.9,6.63,27.55,69.36,57.23,52.14,23.83,12.65,0.47,61.79,16.64,32.63,28.46,0.25609,0.037898,0.062287,0.22929,0.56461,,3.145,,153.666666667,3.68178700573,15.6666666667,1.24721912892,340701.277 && 340700.5805 && 340699.7215 && 340699.0255,3832767.895 && 3832768.125 && 3832768.54 && 3832768.77,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,,SF-BE-r1-p1345 && SF-BE-r1-p1346 && SF-BE-r1-p1347 && SF-BE-r1-p1348,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1345 && BMS.SF-BE-r1-p1347 && PAN.SF-BE-r1-p1347 && LEF.SF-BE-r1-p1347,ANTHESIS && MATURITY
5 && 6 && 7 && 8,30,PI_656026,94,103,104,0.20,0.08,0.05,18,21,17,47.67,0.86,5.16,72.99,5.33,2.89,19.37,90.81,1.1,5.83,21.33,69.87,52.66,45.99,19.93,-54.04,-0.29,56.76,12.07,41.84,26.94,0.53058,0.065825,0.076347,0.29333,0.7881,,27.6882,,100.333333333,4.49691252108,18.6666666667,1.6996731712,340702.7625 && 340702.067 && 340701.213 && 340700.5175,3832772.075 && 3832772.31 && 3832772.74 && 3832772.97,PHOTOPERIOD_INSENSITIVE,GRAIN,,,SF-BE-r1-p1393 && SF-BE-r1-p1394 && SF-BE-r1-p1395 && SF-BE-r1-p1396,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1393 && BMS.SF-BE-r1-p1395 && PAN.SF-BE-r1-p1395 && LEF.SF-BE-r1-p1395,ANTHESIS && MATURITY
5 && 6 && 7 && 8,31,CHECK,214,215,217,0.82,0.59,0.57,40,42,41,45.71,0.77,7.59,73.31,3.59,4,21.38,91.9,1.05,6.75,23.64,80.06,53.87,46.13,16.95,-17.67,-0.17,62.59,7.33,38.96,29.4,0.2901,0.051087,0.057192,0.16515,0.98368,,26.697,,215.333333333,1.24721912892,41.0,0.816496580928,340704.2315 && 340703.5365 && 340702.6975 && 340702.0025,3832776.215 && 3832776.45 && 3832776.915 && 3832777.15,,,,,SF-BE-r1-p1441 && SF-BE-r1-p1442 && SF-BE-r1-p1443 && SF-BE-r1-p1444,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1441 && BMS.SF-BE-r1-p1443 && PAN.SF-BE-r1-p1443 && LEF.SF-BE-r1-p1443,ANTHESIS && MATURITY
5 && 6 && 7 && 8,32,PI_52606,116,119,131,0.49,0.42,0.38,23,20,19,36.78,0.73,10.21,62.28,2.66,8.33,20.84,90.63,0.98,4.56,33.85,74.09,61.21,59.57,26.9,30.99,0.59,65.06,17.53,32.22,27.2,0.61465,0.053799,0.050494,0.22313,0.64487,,6.8828,,122.0,6.48074069841,20.6666666667,1.6996731712,340705.7485 && 340705.0535 && 340704.2215 && 340703.527,3832780.49 && 3832780.73 && 3832781.21 && 3832781.445,PHOTOPERIOD_INSENSITIVE,GRAIN,South Africa,Kafir,SF-BE-r1-p1489 && SF-BE-r1-p1490 && SF-BE-r1-p1491 && SF-BE-r1-p1492,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p1489 && BMS.SF-BE-r1-p1491 && PAN.SF-BE-r1-p1491 && LEF.SF-BE-r1-p1491,ANTHESIS && MATURITY
9 && 10 && 11 && 12,1,PI_255744,229,233,221,1.35,1.27,1.04,25,24,23,34.87,0.49,5.51,58.64,2.48,5.04,25.18,91.58,0.82,5.92,32.82,67.19,62.03,56.31,30.69,32.14,0.63,65.43,23.22,28.95,24.4,0.98017,0.040373,0.046189,0.16014,0.20227,,59.6752,52.0167,227.666666667,4.9888765157,24.0,0.816496580928,340655.761 && 340655.0705 && 340654.38 && 340653.69,3832648.325 && 3832648.55 && 3832648.775 && 3832649.005,PHOTOPERIOD_INSENSITIVE,Cellulosic,Turkey,,SF-BE-r1-p0005 && SF-BE-r1-p0006 && SF-BE-r1-p0007 && SF-BE-r1-p0008,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0005 && BMS.SF-BE-r1-p0007 && PAN.SF-BE-r1-p0007 && LEF.SF-BE-r1-p0007,ANTHESIS && MATURITY
9 && 10 && 11 && 12,2,PI_586435,140,146,136,0.38,0.34,0.30,18,18,15,36.27,0.62,8.41,62.57,2.45,6.19,13.75,91.94,0.87,5.83,32.35,69.56,60.81,57.07,25.4,41.43,1.13,66.02,20.99,30.44,28.3,0.57169,0.035593,0.06802,0.1795,0.27881,,3.2697,30.2334,140.666666667,4.10960933531,17.0,1.41421356237,340657.2505 && 340656.5615 && 340655.8725 && 340655.1835,3832652.525 && 3832652.755 && 3832652.985 && 3832653.215,PHOTOPERIOD_INSENSITIVE,Sweet,Hungary,Guinea-kafir,SF-BE-r1-p0053 && SF-BE-r1-p0054 && SF-BE-r1-p0055 && SF-BE-r1-p0056,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0053 && BMS.SF-BE-r1-p0055 && PAN.SF-BE-r1-p0055 && LEF.SF-BE-r1-p0055,ANTHESIS && MATURITY
9 && 10 && 11 && 12,3,PI_653617,183,190,182,0.77,0.65,0.63,33,30,31,33.21,0.63,5.68,59.38,3.41,4.81,23,91.2,0.88,6.96,30.61,67.53,59.05,54.88,31.45,21.02,0.43,63.09,23.34,26.25,27.53,0.60312,0.035738,0.052494,0.093902,0.47673,,6.1457,25.3552,185.0,3.55902608401,31.3333333333,1.24721912892,340658.797 && 340658.107 && 340657.4175 && 340656.728,3832656.885 && 3832657.115 && 3832657.345 && 3832657.575,PHOTOPERIOD_INSENSITIVE,Sweet,,,SF-BE-r1-p0101 && SF-BE-r1-p0102 && SF-BE-r1-p0103 && SF-BE-r1-p0104,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0101 && BMS.SF-BE-r1-p0103 && PAN.SF-BE-r1-p0103 && LEF.SF-BE-r1-p0103,ANTHESIS && MATURITY
9 && 10 && 11 && 12,5,PI_641821,185,165,158,0.82,0.77,0.73,18,15,16,28.15,0.62,7.16,50.49,2.98,6.83,21.35,90.55,0.79,5.38,36.26,75.22,64.1,61.98,37.97,14.49,0.99,68.68,28.8,22.77,25.84,0.64674,0.034666,0.07285,0.21464,0.2223,,28.8256,35.5108,169.333333333,11.4406682012,16.3333333333,1.24721912892,340661.942 && 340661.2475 && 340660.553 && 340659.859,3832665.33 && 3832665.565 && 3832665.8 && 3832666.035,PHOTOPERIOD_INSENSITIVE,Cellulosic,,,SF-BE-r1-p0197 && SF-BE-r1-p0198 && SF-BE-r1-p0199 && SF-BE-r1-p0200,,1 of 4 && 2 of 4 && 3 of 4 && 4 of 4,BIOMASS && PANICLE && LEAF,BMS. && PAN. && LEF.,SF-BE-r1-p0197 && BMS.SF-BE-r1-p0199 && PAN.SF-BE-r1-p0199 && LEF.SF-BE-r1-p0199,ANTHESIS && MATURITY
