2016,dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_label,random_forest_0,random_forest_1,random_forest_10,random_forest_11,random_forest_12,random_forest_13,random_forest_14,random_forest_15,random_forest_16,random_forest_17,random_forest_18,random_forest_19,random_forest_2,random_forest_20,random_forest_21,random_forest_22,random_forest_23,random_forest_24,random_forest_25,random_forest_26,random_forest_27,random_forest_28,random_forest_29,random_forest_3,random_forest_30,random_forest_31,random_forest_32,random_forest_33,random_forest_34,random_forest_35,random_forest_36,random_forest_37,random_forest_38,random_forest_39,random_forest_4,random_forest_40,random_forest_41,random_forest_42,random_forest_43,random_forest_44,random_forest_45,random_forest_46,random_forest_47,random_forest_48,random_forest_49,random_forest_5,random_forest_50,random_forest_51,random_forest_52,random_forest_53,random_forest_54,random_forest_55,random_forest_56,random_forest_57,random_forest_58,random_forest_59,random_forest_6,random_forest_60,random_forest_61,random_forest_62,random_forest_63,random_forest_64,random_forest_65,random_forest_66,random_forest_67,random_forest_68,random_forest_69,random_forest_7,random_forest_70,random_forest_71,random_forest_72,random_forest_73,random_forest_74,random_forest_75,random_forest_76,random_forest_77,random_forest_78,random_forest_79,random_forest_8,random_forest_80,random_forest_81,random_forest_82,random_forest_83,random_forest_84,random_forest_85,random_forest_86,random_forest_87,random_forest_88,random_forest_89,random_forest_9,random_forest_90,random_forest_91,random_forest_92,random_forest_93,random_forest_94,random_forest_95,random_forest_96,random_forest_97,random_forest_98,random_forest_99
Lignin,0.4595736496,0.4595598626,0.4601729474,0.4551842895,0.4656228741,0.4545240612,0.456785221,0.4624095362,0.4583364084,0.4584837412,0.4664154282,0.4533462155,0.4640598745,0.452385021,0.4640472649,0.4753665321,0.4584996431,0.4720496942,0.4568084602,0.4552602345,0.465663242,0.4679390936,0.4561886891,0.4647453123,0.4648281257,0.458279953,0.466115364,0.4599367747,0.4569620954,0.4628166297,0.4655489628,0.4521117967,0.4634895029,0.4627514374,0.4570054968,0.4619897593,0.4638354019,0.4618681985,0.4672121536,0.4578470666,0.4667212702,0.4631157998,0.4762288373,0.4675895243,0.4624436749,0.4671163191,0.4532446242,0.462156785,0.4640990379,0.4581146467,0.4642261053,0.4569940727,0.4650357365,0.4721298719,0.461193443,0.4689838712,0.4597893694,0.4656337497,0.4765503298,0.4617066941,0.4751952698,0.4709902809,0.4620844715,0.464458812,0.4729583519,0.4695848293,0.4631967483,0.4599978244,0.4593993915,0.4677262395,0.4625818242,0.4662816263,0.4697518012,0.4609557683,0.4633506554,0.4658834893,0.4633228163,0.4643406768,0.4717423565,0.462282155,0.463516723,0.4597147106,0.4616838184,0.4642831955,0.4756340007,0.4494973864,0.466843368,0.4726434043,0.4746760256,0.4671671831,0.4576732001,0.4510263998,0.4580488331,0.45092752,0.4706277794,0.4576214225,0.4709454201,0.4589742457,0.4705392338,0.4708222285
NEG_OARDC,0.5109469457,0.5216575439,0.525209637,0.5092047808,0.5253044046,0.5139627677,0.5208387858,0.5210040984,0.5202496129,0.5191151168,0.5274349685,0.5175030146,0.516750732,0.5050560766,0.515517403,0.5224684723,0.5159736985,0.5229420161,0.5197328017,0.5138640738,0.5205315273,0.5359672217,0.5149032957,0.5219592153,0.5244088637,0.5113711549,0.5277602125,0.5197091057,0.5111422108,0.5262983778,0.5254044044,0.5101001499,0.5210791156,0.5165870964,0.5183463912,0.5215160743,0.5268874757,0.5149019428,0.513174316,0.5064060143,0.5235696726,0.5350412795,0.5257968337,0.5199129698,0.5107590192,0.5155576102,0.5157282995,0.5191255264,0.5320820775,0.5224205787,0.5255903044,0.5250966846,0.5195044254,0.5266042483,0.526155505,0.5191021672,0.5222438907,0.528822888,0.521534973,0.5226202925,0.5272119534,0.5240893798,0.5159342029,0.5272405097,0.5264752889,0.5280253607,0.5132571811,0.5226128102,0.5211179721,0.5264112766,0.5270233729,0.5146509446,0.5248655829,0.5149437202,0.5216649959,0.5242453509,0.5221291229,0.5222529316,0.52640739,0.5177649533,0.5074279092,0.5234172794,0.516072809,0.522510566,0.5135649901,0.5095189234,0.5221505952,0.527466671,0.5125211768,0.5213849956,0.5108900262,0.5125263555,0.5186044819,0.513830672,0.5219159858,0.5186739567,0.521719073,0.5195712806,0.522764684,0.5217433589
NEL3x_ADF,0.199046742,0.2084431319,0.1897329179,0.1963182273,0.200512094,0.1983241532,0.2138655196,0.2006730456,0.2029527587,0.1945786086,0.2080980547,0.1970585029,0.1985559485,0.2024055021,0.1952979866,0.2023948431,0.2066664078,0.1947459894,0.2009567846,0.1885236413,0.2034300329,0.1982541659,0.1988877287,0.2038089798,0.2041495564,0.2054389627,0.1899469118,0.2055615124,0.2016336442,0.2011236835,0.1888754308,0.185868373,0.1956094167,0.1973436543,0.2050039218,0.1970343958,0.2064994255,0.2011194044,0.2022839157,0.1888312685,0.1967123658,0.2060604431,0.1902590045,0.1992301546,0.1911711358,0.1949041082,0.2014794032,0.1911701285,0.2027447975,0.1929848097,0.2063258437,0.2040550858,0.2046542733,0.1873721912,0.2013287092,0.1957487557,0.200066078,0.2056332455,0.2107732755,0.1978794645,0.1956636605,0.1928074606,0.2065403824,0.1989920806,0.1990794508,0.192491291,0.1976088842,0.2096435381,0.1978431692,0.2010020746,0.2045253296,0.190324363,0.1915688577,0.2039427644,0.1946342339,0.1941057253,0.1891428705,0.1983559665,0.1904056562,0.1968890465,0.200990696,0.2101912059,0.200594061,0.195060392,0.207410695,0.2012946727,0.1977997852,0.2046647599,0.1959353185,0.2079500169,0.2120834807,0.2018299966,0.2099613322,0.2064649121,0.1933220941,0.2006958608,0.214970768,0.2032010558,0.2177144908,0.1990916236
NEL3x_OARDC,0.4828825195,0.4896249169,0.4805497913,0.4768265663,0.4838756377,0.4813555784,0.4758359642,0.4855202846,0.4824152189,0.4882773447,0.4864350615,0.4818951841,0.4825624318,0.479297244,0.4885098619,0.4928777245,0.4774479718,0.4902268334,0.4839629297,0.4792895125,0.4827509503,0.4910442192,0.479488461,0.4860518873,0.4854138309,0.4734394435,0.4884321498,0.4893308782,0.476808489,0.4848319825,0.4805131811,0.4754066263,0.4808299179,0.482387136,0.4838366461,0.4792405304,0.4835283741,0.4797586864,0.482278202,0.481645104,0.4952301139,0.4897209684,0.4791470314,0.4748935486,0.4860524917,0.4793136365,0.4797406239,0.4860878644,0.4964878541,0.4833860242,0.4870197989,0.4931853527,0.4866222188,0.4914392441,0.4915579687,0.4839857415,0.4906262759,0.4900292811,0.4856322938,0.489953608,0.4881114277,0.4875310805,0.4870393614,0.4901364996,0.4898023201,0.4929455521,0.4812787177,0.4874484257,0.4929378555,0.4802388993,0.4847746391,0.4861890942,0.4927013066,0.4751933602,0.4858663594,0.4813088825,0.4861457859,0.4907159229,0.4942079692,0.4877386633,0.4744641615,0.4863060956,0.4732232162,0.4856117464,0.4792369619,0.4712940301,0.4779008552,0.4903283575,0.4820088118,0.4934442381,0.4882155939,0.4753305475,0.4747977166,0.4820302713,0.4886618977,0.4741451251,0.490682098,0.4806619541,0.4859901021,0.4851717746
NEM_OARDC,0.5023183766,0.5047320941,0.5039736827,0.4918216012,0.5038350437,0.4937302024,0.5066023079,0.5034050789,0.5070218695,0.4960677275,0.4991356085,0.4929242168,0.5021235359,0.4932753155,0.4974133957,0.5072602094,0.4980620507,0.5023935305,0.5004752852,0.4993612737,0.5049429468,0.5088585978,0.497446119,0.5049051828,0.5127913275,0.4938052815,0.5014262466,0.5033333598,0.4973852364,0.5071826292,0.4963116477,0.4906821138,0.4961274515,0.4980198892,0.5004412176,0.4917017231,0.5003819486,0.4970239693,0.4932651817,0.4924448269,0.51302137,0.5130949383,0.5053367329,0.499530162,0.4999163665,0.5009124744,0.4986759364,0.5095677065,0.5103376131,0.500969235,0.5014713717,0.511174179,0.5018906543,0.5064349581,0.5090821623,0.5031030939,0.5012522976,0.5125316236,0.499926131,0.4971473978,0.5076200281,0.5013202364,0.4971385817,0.5132907377,0.5069081825,0.5045795278,0.5010253246,0.5030550611,0.5015559852,0.4978608786,0.5069677448,0.5087109067,0.5083487018,0.4915341248,0.4948770306,0.4946872557,0.503444193,0.5042655028,0.5045079782,0.4947877117,0.482686272,0.4951531506,0.5007247172,0.5066321639,0.5013676046,0.4937751967,0.4996155624,0.5038896074,0.5030033708,0.5102372762,0.4932844199,0.489232135,0.4995742669,0.4969184774,0.5105382187,0.4942670643,0.5119826837,0.4906923526,0.5052575348,0.5047561728
NFC,0.5822550679,0.5799828645,0.5766722209,0.5882059694,0.5681090015,0.5828184627,0.5790948053,0.5854041247,0.5798673942,0.5955401181,0.588975339,0.5864014156,0.5806384236,0.5806822754,0.5787236711,0.5813225999,0.5795318953,0.590323408,0.5845122275,0.5843526881,0.5854860677,0.5888467321,0.5812369621,0.5903805993,0.5963028813,0.5787976622,0.5858276264,0.5798217521,0.5725884851,0.5767871545,0.5871564368,0.5771341148,0.5810209474,0.5864315233,0.574875932,0.5698481638,0.5897558616,0.5951745162,0.5808360629,0.5872082167,0.5807330822,0.5829171648,0.581538185,0.5843893768,0.5816961609,0.5744444423,0.5840779223,0.5778591435,0.5924195747,0.5843961451,0.581425915,0.5882738165,0.5836379646,0.587336641,0.5866152028,0.5871538129,0.5908038996,0.5911616303,0.5818638665,0.5778442262,0.5777856066,0.5891669209,0.5784733977,0.58938748,0.5886370092,0.5849694649,0.5754230449,0.588580931,0.5713620553,0.5751901918,0.5857159312,0.5877984015,0.5857221277,0.5843570683,0.5870647857,0.5758353001,0.5786957309,0.5832749538,0.5767872063,0.5812550512,0.5772874295,0.5787828633,0.579053462,0.5848930876,0.5887491349,0.5787721144,0.5812763068,0.5862993782,0.5811748234,0.5843713947,0.5850334213,0.5857677607,0.5830587519,0.5839391325,0.5793193545,0.5885892531,0.5795572178,0.5832689142,0.5833872447,0.5824732254
SPCP,0.5505425423,0.5627658845,0.5526331143,0.5558729647,0.5615547582,0.5512115186,0.5493774177,0.5526191947,0.5498654805,0.5465514918,0.5514571845,0.5472670438,0.556964266,0.5580626577,0.5468580853,0.549035694,0.546614638,0.5562547999,0.5500825924,0.549716317,0.5543927399,0.5504982881,0.5534905643,0.5534724328,0.5525980866,0.5582598623,0.5533257805,0.5505535102,0.5528856975,0.5560126012,0.5561626928,0.5518927628,0.555113129,0.5589835099,0.5552656852,0.5578904287,0.5575473871,0.5569349872,0.5521898881,0.5530597982,0.5513741964,0.551964092,0.5428060223,0.5531131722,0.5545806462,0.5500199038,0.5536513319,0.5503760413,0.5553024211,0.5542391286,0.5589333225,0.5565680558,0.5510155487,0.555656737,0.5535629316,0.5559437177,0.5565117491,0.5590187627,0.5502536626,0.5556842194,0.5552453617,0.5604123323,0.5540279546,0.5521770636,0.5499446299,0.5552210384,0.5509402223,0.5554065993,0.5552763272,0.5503361987,0.5517999833,0.5572173989,0.5545238072,0.5513392971,0.5555995762,0.5559901687,0.5510591723,0.5586771276,0.5546637362,0.5503289804,0.5522212215,0.5551435285,0.5489136139,0.5469600964,0.5535577889,0.5563532256,0.551919151,0.5540515365,0.5478598096,0.5531564047,0.5538651252,0.5514956543,0.5582895276,0.5501734122,0.5534893745,0.5518307516,0.5484064936,0.5493972538,0.5626181136,0.547248384
Starch,0.2147651776,0.2241013089,0.20484732,0.2104315495,0.2126135098,0.221458231,0.2067214397,0.2171107995,0.2200054546,0.2086089007,0.2181743528,0.2201328694,0.211476265,0.220529124,0.2158256133,0.2069754708,0.2128640622,0.2181458394,0.2137917368,0.2031108807,0.2217881118,0.2259311757,0.2154242239,0.2107354082,0.2206533061,0.216885958,0.2236835328,0.1995019789,0.211003219,0.2231078041,0.2172835029,0.2204256203,0.2223542698,0.2174361857,0.2126144944,0.2163651259,0.2135010123,0.2195343235,0.2206366444,0.2212703685,0.2121031245,0.216759988,0.2033560995,0.2213318666,0.2058017569,0.2134817305,0.2150534776,0.2154207327,0.2150218921,0.217817558,0.2230163896,0.2189015966,0.2096934132,0.2157066866,0.2168962007,0.2129830454,0.2182521511,0.2294027287,0.2087500384,0.2314552583,0.2215285615,0.2026823988,0.2218679878,0.2189985025,0.2107790557,0.2168884376,0.2109297573,0.213915442,0.2134631503,0.2091184673,0.2080404466,0.2086038874,0.2125871141,0.225306648,0.2205883287,0.2174494633,0.2159605542,0.2080097916,0.2167806934,0.2175607999,0.2192528804,0.2056871676,0.2264039867,0.2162950221,0.2211878637,0.2159517716,0.2240062074,0.2053709888,0.2175798487,0.2214793311,0.2125079406,0.2200866241,0.215430124,0.2223775106,0.2126390616,0.2075955967,0.2148676792,0.2137161898,0.2200729737,0.2099479067
TDN_OARDC,0.2860237529,0.2897000205,0.2815687375,0.2877015384,0.2829072294,0.2892319248,0.2931708307,0.2878832473,0.3032017945,0.3011410272,0.29545322,0.2849056501,0.2883386171,0.2897560759,0.2712538986,0.2913860484,0.2790663101,0.2784273073,0.2865380232,0.2821926706,0.291299151,0.287934736,0.2759948888,0.2816555547,0.2892997803,0.2829241424,0.2833568806,0.295259532,0.27795825,0.2757499948,0.2885541531,0.280995379,0.2852856574,0.2875703728,0.2909217135,0.2921208158,0.2698344545,0.2852830351,0.2816094873,0.2697807711,0.2892291243,0.2840056951,0.2841353225,0.2905248448,0.2891745455,0.2793848681,0.3007198065,0.2869972605,0.2793088392,0.282292343,0.2833017981,0.2991167131,0.283622406,0.2962828776,0.2803103293,0.2785178918,0.2933491076,0.2955473009,0.2916966407,0.2906596757,0.2898572657,0.2845647103,0.2871423788,0.2756185769,0.2842745002,0.2940413421,0.2769709065,0.2823731809,0.2870422759,0.2932833482,0.292919722,0.2804344519,0.2972482449,0.294074363,0.2865611459,0.2917319904,0.2978803596,0.2946737707,0.2856938559,0.2858524313,0.2952921993,0.2919521425,0.2729552535,0.2892232101,0.2848552712,0.2955132496,0.2781613213,0.2930506517,0.2864205521,0.284653751,0.2997668132,0.2758467329,0.2873803398,0.2888297874,0.2756492506,0.2962931806,0.2943502574,0.2757403046,0.2949648699,0.2947327275
WSC_Sugar,0.6128232094,0.6167647397,0.6160264974,0.6198875735,0.6072214541,0.6090445185,0.6177653321,0.6125718212,0.6141526607,0.6227668313,0.6249775575,0.6250405504,0.6159386464,0.6179236761,0.6119468965,0.6251992619,0.6218570044,0.6243158774,0.6232656859,0.6141836004,0.6121250589,0.6300041382,0.6288773461,0.6273212917,0.6329513293,0.6089450332,0.6188512799,0.6159587864,0.620450729,0.6207191787,0.6223981518,0.6174628218,0.6177762465,0.6226191369,0.6219074849,0.618087759,0.6302334177,0.6179387314,0.6226462388,0.6284750136,0.6225154105,0.6252255449,0.6274776409,0.6139332276,0.6252038302,0.6161207727,0.625684298,0.6203782851,0.6318357928,0.6198148628,0.6172550811,0.6251466998,0.6228766909,0.6233352135,0.6245866145,0.6292358375,0.6264452067,0.6179900244,0.6167062858,0.6148087952,0.6160903067,0.6220186487,0.6075834616,0.6220208162,0.6234857832,0.6186517656,0.6123826747,0.6243720174,0.6086882432,0.611500745,0.628224059,0.6190865183,0.6253930651,0.6140845751,0.6207880796,0.6206025827,0.6142957066,0.6196632286,0.6199031514,0.6191151634,0.6132147664,0.6197807013,0.6204188205,0.6214147462,0.6254600816,0.6210732409,0.6225556959,0.624748356,0.6162358503,0.6203536998,0.6162829649,0.6177273339,0.6149989565,0.6192096854,0.6184312892,0.6252807549,0.6173242065,0.62330612,0.6152046247,0.6210886084
aNDFom,0.5321422189,0.5316478702,0.5243280137,0.5232366461,0.514102856,0.5198334169,0.5228582625,0.5313188422,0.5296308601,0.5326537347,0.5344976857,0.5285137404,0.5281902239,0.5288675896,0.5235211575,0.5414495094,0.5241479053,0.530812049,0.5306586505,0.5249590756,0.5183933425,0.5291068151,0.5298764215,0.5315801216,0.5454644276,0.525430444,0.5280002661,0.5356455204,0.5354797082,0.5301659944,0.5301867974,0.5153044816,0.5192950548,0.5313502757,0.5220639638,0.5249632023,0.5327711306,0.5222563674,0.5245062863,0.5299914696,0.5294424263,0.5415866986,0.5278840478,0.5226564438,0.5215446174,0.5131435273,0.5258115757,0.5269728388,0.539702122,0.5378762021,0.5323508511,0.5326884527,0.532740331,0.5326444385,0.5298688436,0.5340587583,0.5274443782,0.5314862573,0.5162205368,0.5212079724,0.5262750183,0.5310823772,0.5250702088,0.5323094927,0.5342592506,0.5207913094,0.5218627198,0.5315426759,0.5233054755,0.5158004441,0.5322922421,0.5318737898,0.5312484155,0.5214710613,0.5296566478,0.522177927,0.5230561805,0.5318714388,0.5261871082,0.5207078935,0.5251957856,0.5230196118,0.5344964737,0.5328143995,0.5374732097,0.5232355758,0.5329685482,0.523864464,0.5202821335,0.5344223862,0.5231461275,0.541473065,0.5290749039,0.5256835282,0.5252911438,0.5254860395,0.5259603015,0.5180650662,0.5263356943,0.5202805222
zOverall,0.4363652351,0.4367242462,0.433129448,0.4323794092,0.4322214205,0.4327379674,0.4356954812,0.4355066387,0.4351252379,0.4355713708,0.437982852,0.4346791213,0.4338586464,0.4321503522,0.4325017608,0.437961491,0.4303256106,0.4370467256,0.4343801713,0.4327552734,0.4347056522,0.4395100039,0.434841726,0.4381842802,0.4428399743,0.4327451593,0.4359943243,0.4365059788,0.4320375622,0.4349124766,0.4353256883,0.4296455129,0.4340533104,0.4374657415,0.4344201098,0.4360682703,0.4377341444,0.4347703026,0.4331750473,0.4328075199,0.4378171493,0.4392480019,0.4345141234,0.4362596504,0.4333208379,0.4312721997,0.4354529096,0.4349186324,0.4425108092,0.4378722605,0.4368233787,0.439195412,0.4350564107,0.4391873663,0.4391612049,0.4374505808,0.4399553373,0.4408450206,0.4366535323,0.4362723713,0.4384849754,0.4365149415,0.4355210985,0.4387129237,0.4366692315,0.438760922,0.4318109554,0.4364544079,0.4359009952,0.4314957434,0.4368444193,0.4363254673,0.4373280289,0.4329262869,0.4359652163,0.4359629674,0.4343520507,0.436543523,0.4359505756,0.4337667719,0.4338464562,0.4366177544,0.4343828468,0.4355627693,0.4380074472,0.4341297178,0.4357573382,0.4354761081,0.4340247448,0.4359495608,0.4362295515,0.433773885,0.4335663504,0.4347065801,0.4358523617,0.4348528664,0.4375880558,0.4318874916,0.4408635987,0.4353527883
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016.noAugmentMissing,dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
output_label,random_forest_0,random_forest_1,random_forest_10,random_forest_11,random_forest_12,random_forest_13,random_forest_14,random_forest_15,random_forest_16,random_forest_17,random_forest_18,random_forest_19,random_forest_2,random_forest_20,random_forest_21,random_forest_22,random_forest_23,random_forest_24,random_forest_25,random_forest_26,random_forest_27,random_forest_28,random_forest_29,random_forest_3,random_forest_30,random_forest_31,random_forest_32,random_forest_33,random_forest_34,random_forest_35,random_forest_36,random_forest_37,random_forest_38,random_forest_39,random_forest_4,random_forest_40,random_forest_41,random_forest_42,random_forest_43,random_forest_44,random_forest_45,random_forest_46,random_forest_47,random_forest_48,random_forest_49,random_forest_5,random_forest_50,random_forest_51,random_forest_52,random_forest_53,random_forest_54,random_forest_55,random_forest_56,random_forest_57,random_forest_58,random_forest_59,random_forest_6,random_forest_60,random_forest_61,random_forest_62,random_forest_63,random_forest_64,random_forest_65,random_forest_66,random_forest_67,random_forest_68,random_forest_69,random_forest_7,random_forest_70,random_forest_71,random_forest_72,random_forest_73,random_forest_74,random_forest_75,random_forest_76,random_forest_77,random_forest_78,random_forest_79,random_forest_8,random_forest_80,random_forest_81,random_forest_82,random_forest_83,random_forest_84,random_forest_85,random_forest_86,random_forest_87,random_forest_88,random_forest_89,random_forest_9,random_forest_90,random_forest_91,random_forest_92,random_forest_93,random_forest_94,random_forest_95,random_forest_96,random_forest_97,random_forest_98,random_forest_99
ADF,0.477448087,0.4929199589,0.4702541511,0.4803100471,0.4764338789,0.4823296038,0.4873608951,0.4763656997,0.485568169,0.4905942296,0.4866444372,0.4878953138,0.4807987163,0.4755677242,0.4944368388,0.4870483379,0.4870365654,0.4847273664,0.4847884448,0.4893748766,0.4753997082,0.4947885359,0.4893206384,0.4807160714,0.4842234322,0.4833425654,0.4812391072,0.4894372092,0.4850949893,0.488634265,0.4771733402,0.4788062089,0.4760449674,0.4863607561,0.4820120169,0.4756257278,0.4880133766,0.4859328219,0.4807393284,0.4842164293,0.4814073987,0.4825900364,0.4898694197,0.4818781965,0.4771427102,0.4763257308,0.4847356447,0.4817452099,0.4894814059,0.4895278374,0.4796007584,0.4805257936,0.4836804966,0.4897023377,0.4937614323,0.4936756985,0.4844609781,0.4785727883,0.4738404997,0.483173063,0.4799602764,0.4851541534,0.4772553936,0.494284996,0.4796665789,0.4854856912,0.482598643,0.4860764491,0.4873761535,0.4806879798,0.4839453005,0.4869238692,0.4848675954,0.4796793928,0.4879266551,0.4889252535,0.480042731,0.4915632876,0.4861364183,0.4732746047,0.47285614,0.4833836143,0.4824673598,0.4772656851,0.4859104625,0.4793036168,0.4817916923,0.480497804,0.4785197584,0.4856507126,0.4813926279,0.4866369946,0.4828835477,0.487775257,0.4825585636,0.47325162,0.4820825376,0.4848943263,0.4776194855,0.4768726531
AD_ICP,0.4010259805,0.4001701446,0.3966085684,0.3986621809,0.4070025763,0.4084236529,0.4070697379,0.4081006874,0.4025922968,0.4113270322,0.4045611677,0.4056234627,0.3960548367,0.3969944644,0.4084494115,0.3989877938,0.4111861229,0.4068445935,0.4109665752,0.4067169705,0.4176682663,0.4044689602,0.4040499372,0.4160830746,0.4050949072,0.4102714184,0.4075418299,0.4064536863,0.4014589193,0.3938098587,0.4115120705,0.3975900121,0.4022329212,0.4092754108,0.4133961498,0.4075595907,0.3987941603,0.4125462416,0.3924520448,0.4008347624,0.4045718705,0.413562688,0.4138313022,0.411043709,0.4059366024,0.3973224819,0.4144153763,0.4139782088,0.4081365742,0.4138154168,0.4039953296,0.3916665363,0.4088264435,0.4110084011,0.4193156689,0.4035285588,0.408587385,0.4109121015,0.408171869,0.400779796,0.4078896138,0.4092004486,0.4067707492,0.405081591,0.401281472,0.4036167082,0.4138785626,0.4110255723,0.4130688157,0.3959623657,0.4020707067,0.4034774828,0.405860352,0.4044470317,0.4095217068,0.4142017168,0.4108367937,0.4058577234,0.39847046,0.4090856389,0.4057527995,0.406249948,0.4056270994,0.3982529941,0.4048741934,0.4100774057,0.4001135257,0.3995689026,0.3989918906,0.3974727711,0.4153298053,0.4020797919,0.3995790993,0.404953751,0.4044887617,0.4054804685,0.3996269057,0.395098634,0.4026467006,0.4063644526
Adj_CP,0.7225111888,0.7175868656,0.7197960651,0.7228998662,0.7222701567,0.719478748,0.7225952027,0.7234506966,0.7235352112,0.7225799518,0.7262699922,0.7198979752,0.717386473,0.7179966588,0.7161581909,0.7218471143,0.7175136727,0.7224419064,0.718668709,0.720539083,0.7211598781,0.7222474924,0.7219787021,0.7239748099,0.7232407975,0.7177294307,0.7222965299,0.7234381462,0.7198731578,0.7208061236,0.7228952468,0.7185755008,0.718737176,0.7251554838,0.72356393,0.7192828385,0.7229569083,0.7233267566,0.7220322263,0.7195858935,0.7246384451,0.7253188617,0.7220726042,0.7226548472,0.7203840522,0.7195114601,0.7209201573,0.7229122095,0.7241344941,0.7248424968,0.7212264867,0.7239155006,0.7180965687,0.7244779053,0.7219379792,0.7210280658,0.7239621949,0.7198019917,0.7224392485,0.7220215712,0.7256496652,0.7212293152,0.7233970528,0.7243378491,0.7217853185,0.7260758663,0.7203013502,0.7251144522,0.722418716,0.7208446879,0.7242474618,0.720123537,0.7233181557,0.7150593564,0.7205368032,0.7217825286,0.7244444472,0.727250269,0.7169836149,0.721361352,0.7248139582,0.7234431925,0.7191522255,0.7221238736,0.7183520444,0.7191438267,0.7210087574,0.7183430467,0.7227799579,0.7207884898,0.7204130619,0.7191819352,0.7242508515,0.7206803461,0.7166557061,0.7207972246,0.7220297012,0.7161448976,0.7238813054,0.7216122479
Ash,0.1367626318,0.1225725907,0.1345790792,0.120606113,0.1427786276,0.1438557112,0.1396825546,0.1377036051,0.1386567449,0.1191408292,0.1267902648,0.1433934887,0.1356854763,0.1314140599,0.1153477225,0.1482304011,0.1150792053,0.1475666628,0.1236531098,0.1288114746,0.140156849,0.1413585419,0.1263033642,0.1193870228,0.1412745697,0.1197654274,0.1370411996,0.1457954534,0.116595215,0.1318929711,0.1362665515,0.1270446121,0.1275427508,0.1291120964,0.1391293219,0.1428722354,0.1342476001,0.135503479,0.1278156422,0.1232288867,0.1341271625,0.1335115806,0.1333949717,0.140827465,0.1415321316,0.1254204087,0.1311021417,0.1235053882,0.1457742975,0.1430282408,0.1374887718,0.1352970518,0.1233014366,0.1545758018,0.13693059,0.1449826598,0.1252810305,0.1518855657,0.131862528,0.1297562269,0.1336704879,0.136214288,0.13640642,0.1354976484,0.123911583,0.140074739,0.122645971,0.1439528541,0.1259780893,0.1344156215,0.1221390323,0.1335009084,0.121629795,0.1245473402,0.1232573366,0.1337811147,0.1310635097,0.1343380409,0.130314557,0.1370023414,0.1426101377,0.1370414281,0.1349984754,0.1116676298,0.1355399143,0.126539539,0.1331224652,0.1417541637,0.1369378477,0.1317128424,0.1427222234,0.1031049912,0.1320634214,0.1273387346,0.1368319113,0.1178839764,0.1371464857,0.1233154859,0.1307833899,0.1435737426
Cellulose,0.4924287404,0.4890210664,0.4791808316,0.4901768368,0.4821431759,0.4799996867,0.4819422145,0.4850653824,0.4903037138,0.4846720616,0.4946006522,0.4843606082,0.4796683316,0.4771076073,0.488791806,0.4869802294,0.4839264539,0.489828086,0.4912295253,0.4915568604,0.4852882472,0.4886952427,0.4841193212,0.4909094721,0.4947429578,0.4918354673,0.4829839498,0.4932847972,0.4876266845,0.4842451268,0.4824364607,0.471434464,0.4791083303,0.4880295448,0.493398373,0.4780888151,0.4970462317,0.4949611252,0.4785860845,0.4850262527,0.4834096623,0.4913682707,0.4915466372,0.485112796,0.478244336,0.4757083731,0.4930908644,0.4938882152,0.4899033442,0.4867178126,0.4891461615,0.4870840541,0.4854963398,0.4851790695,0.4969725656,0.4866678233,0.4841469299,0.4925873679,0.4839149535,0.4833418487,0.4862648222,0.4945122602,0.488633059,0.4850574612,0.4884588004,0.4803411685,0.4763584909,0.4807379574,0.4817480363,0.479544163,0.4841106512,0.4913854454,0.4814152851,0.4830604396,0.4862059894,0.4877310203,0.4847463686,0.4849562297,0.485519882,0.4763211948,0.475126205,0.4933897096,0.4869211658,0.4867011559,0.4950043989,0.4856826854,0.4896864571,0.4814823019,0.4822201425,0.4838041828,0.4792657943,0.4886227652,0.4892563984,0.4895668185,0.4881021878,0.4873213471,0.4837354274,0.4864660493,0.4809091336,0.4787609926
