Taxa,PHOTOPERIOD,Type,Origin,Race
PI_329646,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329665,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329673,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329699,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA
PI_329702,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329710,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329711,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329841,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_329843,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_329864,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA
PI_329865,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_330167,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_330168,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_330169,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_330181,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_330182,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_330184,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_330185,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_330195,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,NA
PI_330196,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_330199,PHOTOPERIOD_INSENSITIVE,Sweet,Ethiopia,NA
PI_330796,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_330803,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_330807,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_330833,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_330858,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_337680,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,NA
PI_337689,PHOTOPERIOD_INSENSITIVE,Cellulosic,Ethiopia,NA
PI_35038,PHOTOPERIOD_INSENSITIVE,Cellulosic,United States,NA
PI_365512,PHOTOPERIOD_INSENSITIVE,Cellulosic,South Africa,Caudatum
PI_452542,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra
PI_452544,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra
PI_452619,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Guinea-durra
PI_452692,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra
PI_453106,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra
PI_453177,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra-bicolor
PI_453696-dark,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra
PI_455217,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra
PI_455221-dark,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,MIXED
PI_455280,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra-bicolor
PI_455301,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Kafir-durra
PI_455307,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra-bicolor
PI_505717,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Guinea-caudatum
PI_505722,PHOTOPERIOD_SENSITIVE,Cellulosic,Zambia,Guinea-caudatum
PI_505735,PHOTOPERIOD_INSENSITIVE,Sweet,Zambia,Caudatum
PI_506030,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea
PI_506069,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea-bicolor
PI_506114,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea
PI_506122,PHOTOPERIOD_SENSITIVE,Cellulosic,Togo,Guinea
PI_508366,PHOTOPERIOD_SENSITIVE,Cellulosic,Mali,Guinea
PI_510757,PHOTOPERIOD_SENSITIVE,Cellulosic,Cameroon,Durra
PI_511355,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_513898,PHOTOPERIOD_SENSITIVE,Cellulosic,Benin,Guinea
PI_514456,PHOTOPERIOD_SENSITIVE,Cellulosic,Senegal,Guinea
PI_521019,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Durra-caudatum
PI_521152,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Caudatum
PI_521280,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Durra-bicolor
PI_521281,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Bicolor
PI_521290,PHOTOPERIOD_SENSITIVE,Sweet,Kenya,Guinea-bicolor
PI_524475,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Caudatum-bicolor
PI_525049,PHOTOPERIOD_SENSITIVE,Cellulosic,Malawi,Guinea
PI_52606,PHOTOPERIOD_INSENSITIVE,GRAIN,South Africa,Kafir
PI_526905,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum
PI_527045,PHOTOPERIOD_INSENSITIVE,GRAIN,Zimbabwe,Caudatum
PI_533792,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,NA
PI_533902,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,NA
PI_533998,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_534120,PHOTOPERIOD_INSENSITIVE,GRAIN,Ethiopia,NA
PI_534165,PHOTOPERIOD_INSENSITIVE,GRAIN,Sudan,NA
PI_535783,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_535785,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_535792,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_535793,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_535794,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_535795,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_535796,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_540518,PHOTOPERIOD_INSENSITIVE,Cellulosic,Botswana,NA
PI_542718,PHOTOPERIOD_INSENSITIVE,GRAIN,China,NA
PI_550604,PHOTOPERIOD_INSENSITIVE,GRAIN,Former Soviet Union,Caudatum
PI_552851,PHOTOPERIOD_SENSITIVE,Sweet,NA,NA
PI_561840,PHOTOPERIOD_INSENSITIVE,GRAIN,NA,NA
PI_562717,PHOTOPERIOD_INSENSITIVE,Cellulosic,United States,Bicolor
PI_562730,PHOTOPERIOD_INSENSITIVE,Sweet,United States,Bicolor
PI_562732,PHOTOPERIOD_SENSITIVE,Sweet,Mexico,Durra-caudatum
PI_562781,PHOTOPERIOD_SENSITIVE,Cellulosic,Mali,Guinea
PI_562897,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea
PI_562970,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562971,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562981,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562982,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562985,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562990,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562991,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562994,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_562997,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea-caudatum
PI_562998,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_563002,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_563006,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_563009,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea-caudatum
PI_563020,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_563021,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_563022,PHOTOPERIOD_SENSITIVE,Cellulosic,Nigeria,Guinea
PI_563032,PHOTOPERIOD_INSENSITIVE,Sweet,Japan,Bicolor
PI_563196,PHOTOPERIOD_SENSITIVE,Cellulosic,Kenya,Guinea-caudatum
PI_563222,PHOTOPERIOD_SENSITIVE,Cellulosic,United States,Kafir
PI_563295,PHOTOPERIOD_SENSITIVE,Sweet,United States,Durra-caudatum
PI_563329,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra-caudatum
PI_563330,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra
PI_563331,PHOTOPERIOD_SENSITIVE,Sweet,Ethiopia,Durra
PI_563332,PHOTOPERIOD_SENSITIVE,Cellulosic,Ethiopia,Durra
PI_563338,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea
PI_563348,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea
PI_563350,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea
PI_563355,PHOTOPERIOD_SENSITIVE,Cellulosic,Burkina Faso,Guinea-caudatum
PI_564163,PHOTOPERIOD_INSENSITIVE,GRAIN,United States,NA
PI_566819,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_568717,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Durra-caudatum
PI_569090,PHOTOPERIOD_INSENSITIVE,Cellulosic,Sudan,Caudatum
PI_569097,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Durra
PI_569148,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Durra-bicolor
PI_569244,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,Durra-caudatum
PI_569264,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Caudatum-bicolor
PI_569416,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569418,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569419,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569420,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569421,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569422,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569423,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569425,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569427,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569433,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569435,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569443,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Kafir-caudatum
PI_569444,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569445,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569446,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569447,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569452,PHOTOPERIOD_SENSITIVE,Sweet,NA,Caudatum
PI_569453,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569454,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569455,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569457,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569458,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569459,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569460,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569462,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_569465,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_569886,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570031,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570038,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Kafir-caudatum
PI_570039,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570042,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570047,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570053,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_570071,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570073,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570074,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570075,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570076,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea
PI_570085,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570087,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570090,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570091,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570096,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570106,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570109,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570110,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570114,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea
PI_570145,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570254,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_570371,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570373,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Guinea-caudatum
PI_570388,PHOTOPERIOD_SENSITIVE,Sweet,Sudan,Guinea
PI_570393,PHOTOPERIOD_SENSITIVE,Cellulosic,Sudan,Caudatum
PI_570400,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Guinea-caudatum
PI_570431,PHOTOPERIOD_SENSITIVE,Sweet,NA,Durra
PI_573193,PHOTOPERIOD_SENSITIVE,Cellulosic,NA,Caudatum
PI_576399,PHOTOPERIOD_INSENSITIVE,Sweet,Sudan,NA
PI_576401,PHOTOPERIOD_INSENSITIVE,GRAIN,India,NA
PI_583832,PHOTOPERIOD_INSENSITIVE,Sweet,NA,NA
PI_585406,PHOTOPERIOD_INSENSITIVE,Cellulosic,Nigeria,Guinea
PI_585448,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea
PI_585452,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea
PI_585454,PHOTOPERIOD_SENSITIVE,Cellulosic,Ghana,Guinea
