Rw10,PI_255744,PI_586435,PI_653617,PI_197542,PI_641821,PI_253986,CHECK,PI_152651,PI_641815,PI_651495,PI_226096,PI_176766,PI_156890,PI_145633,ATLAS,PI_302252,PI_145619,PI_175919,PI_540518,PI_655981,PI_642998,PI_196598,PI_651493,PI_63715,PI_144134,PI_566819,Check,PI_655983,PI_147224,PI_152771,PI_641810,PI_221548
Rw11,PI_255744,PI_586435,PI_653617,PI_197542,PI_641821,PI_253986,CHECK,PI_152651,PI_641815,PI_651495,PI_226096,PI_176766,PI_156890,PI_145633,ATLAS,PI_302252,PI_145619,PI_175919,PI_540518,PI_655981,PI_642998,PI_196598,PI_651493,PI_63715,PI_144134,PI_566819,Check,PI_655983,PI_147224,PI_152771,PI_641810,PI_221548
Rw12,PI_255744,PI_586435,PI_653617,PI_197542,PI_641821,PI_253986,CHECK,PI_152651,PI_641815,PI_651495,PI_226096,PI_176766,PI_156890,PI_145633,ATLAS,PI_302252,PI_145619,PI_175919,PI_540518,PI_655981,PI_642998,PI_196598,PI_651493,PI_63715,PI_144134,PI_566819,Check,PI_655983,PI_147224,PI_152771,PI_641810,PI_221548
Rw13,PI_196586,PI_569244,PI_213900,PI_146890,PI_641836,PI_181080,PI_535785,PI_641829,PI_535795,PI_562730,PI_653616,PI_656035,PI_229841,PI_641835,PI_330199,PI_217691,PI_145626,PI_641892,PI_641830,PI_179749,PI_152694,PI_152862,PI_152971,PI_641807,PI_641824,PI_251672,PI_641862,PI_505735,PI_152966,LEOTI,PI_651497,PI_569090
Rw14,PI_196586,PI_569244,PI_213900,PI_146890,PI_641836,PI_181080,PI_535785,PI_641829,PI_535795,PI_562730,PI_653616,PI_656035,PI_229841,PI_641835,PI_330199,PI_217691,PI_145626,PI_641892,PI_641830,PI_179749,PI_152694,PI_152862,PI_152971,PI_641807,PI_641824,PI_251672,PI_641862,PI_505735,PI_152966,LEOTI,PI_651497,PI_569090
Rw15,PI_196586,PI_569244,PI_213900,PI_146890,PI_641836,PI_181080,PI_535785,PI_641829,PI_535795,PI_562730,PI_653616,PI_656035,PI_229841,PI_641835,PI_330199,PI_217691,PI_145626,PI_641892,PI_641830,PI_179749,PI_152694,PI_152862,PI_152971,PI_641807,PI_641824,PI_251672,PI_641862,PI_505735,PI_152966,LEOTI,PI_651497,PI_569090
Rw16,PI_196586,PI_569244,PI_213900,PI_146890,PI_641836,PI_181080,PI_535785,PI_641829,PI_535795,PI_562730,PI_653616,PI_656035,PI_229841,PI_641835,PI_330199,PI_217691,PI_145626,PI_641892,PI_641830,PI_179749,PI_152694,PI_152862,PI_152971,PI_641807,PI_641824,PI_251672,PI_641862,PI_505735,PI_152966,LEOTI,PI_651497,PI_569090
Rw17,PI_92270,PI_586541,PI_641817,PI_218112,PI_651496,Check,PI_195754,PI_157804,PI_155760,PI_641850,PI_22913,PI_145632,PI_152965,PI_641860,PI_651491,PI_170787,PI_297155,PI_196583,PI_19770,PI_35038,CHECK,PI_586443,PI_524475,PI_646266,PI_329501,PI_154750,PI_455217,PI_329546,PI_152727,PI_562732,PI_329545,PI_455301
Rw18,PI_92270,PI_586541,PI_641817,PI_218112,PI_651496,Check,PI_195754,PI_157804,PI_155760,PI_641850,PI_22913,PI_145632,PI_152965,PI_641860,PI_651491,PI_170787,PI_297155,PI_196583,PI_19770,PI_35038,CHECK,PI_586443,PI_524475,PI_646266,PI_329501,PI_154750,PI_455217,PI_329546,PI_152727,PI_562732,PI_329545,PI_455301
Rw19,PI_92270,PI_586541,PI_641817,PI_218112,PI_651496,Check,PI_195754,PI_157804,PI_155760,PI_641850,PI_22913,PI_145632,PI_152965,PI_641860,PI_651491,PI_170787,PI_297155,PI_196583,PI_19770,PI_35038,CHECK,PI_586443,PI_524475,PI_646266,PI_329501,PI_154750,PI_455217,PI_329546,PI_152727,PI_562732,PI_329545,PI_455301
Rw20,PI_92270,PI_586541,PI_641817,PI_218112,PI_651496,Check,PI_195754,PI_157804,PI_155760,PI_641850,PI_22913,PI_145632,PI_152965,PI_641860,PI_651491,PI_170787,PI_297155,PI_196583,PI_19770,PI_35038,CHECK,PI_586443,PI_524475,PI_646266,PI_329501,PI_154750,PI_455217,PI_329546,PI_152727,PI_562732,PI_329545,PI_455301
Rw21,PI_329299,PI_562994,PI_563021,PI_330195,PI_569433,PI_570074,PI_329618,PI_329632,PI_563002,PI_156393,PI_562971,PI_330858,PI_619838,PI_513898,PI_511355,PI_329843,PI_562981,PI_570109,PI_505717,PI_330181,PI_152860,PI_563022,PI_569459,PI_257600,PI_569458,PI_569444,PI_570388,PI_453696,PI_563006,PI_455280,CHECK,PI_521290
Rw22,PI_329299,PI_562994,PI_563021,PI_330195,PI_569433,PI_570074,PI_329618,PI_329632,PI_563002,PI_156393,PI_562971,PI_330858,PI_619838,PI_513898,PI_511355,PI_329843,PI_562981,PI_570109,PI_505717,PI_330181,PI_152860,PI_563022,PI_569459,PI_257600,PI_569458,PI_569444,PI_570388,PI_453696,PI_563006,PI_455280,CHECK,PI_521290
Rw23,PI_329299,PI_562994,PI_563021,PI_330195,PI_569433,PI_570074,PI_329618,PI_329632,PI_563002,PI_156393,PI_562971,PI_330858,PI_619838,PI_513898,PI_511355,PI_329843,PI_562981,PI_570109,PI_505717,PI_330181,PI_152860,PI_563022,PI_569459,PI_257600,PI_569458,PI_569444,PI_570388,PI_453696,PI_563006,PI_455280,CHECK,PI_521290
Rw24,PI_329299,PI_562994,PI_563021,PI_330195,PI_569433,PI_570074,PI_329618,PI_329632,PI_563002,PI_156393,PI_562971,PI_330858,PI_619838,PI_513898,PI_511355,PI_329843,PI_562981,PI_570109,PI_505717,PI_330181,PI_152860,PI_563022,PI_569459,PI_257600,PI_569458,PI_569444,PI_570388,PI_453696,PI_563006,PI_455280,CHECK,PI_521290
Rw25,PI_156487,PI_506122,PI_570071,PI_569886,PI_569419,PI_569462,PI_267573,PI_570090,PI_563329,PI_562897,PI_156217,PI_570431,PI_330182,PI_506069,PI_153877,PI_330807,PI_510757,PI_329300,PI_563350,PI_563332,PI_570145,PI_154944,PI_152923,PI_329333,PI_570053,PI_303658,PI_329614,PI_221651,PI_569452,PI_506114,PI_330185,PI_585467
Rw26,PI_156487,PI_506122,PI_570071,PI_569886,PI_569419,PI_569462,PI_267573,PI_570090,PI_563329,PI_562897,PI_156217,PI_570431,PI_330182,PI_506069,PI_153877,PI_330807,PI_510757,PI_329300,PI_563350,PI_563332,PI_570145,PI_154944,PI_152923,PI_329333,PI_570053,PI_303658,PI_329614,PI_221651,PI_569452,PI_506114,PI_330185,PI_585467
Rw27,PI_156487,PI_506122,PI_570071,PI_569886,PI_569419,PI_569462,PI_267573,PI_570090,PI_563329,PI_562897,PI_156217,PI_570431,PI_330182,PI_506069,PI_153877,PI_330807,PI_510757,PI_329300,PI_563350,PI_563332,PI_570145,PI_154944,PI_152923,PI_329333,PI_570053,PI_303658,PI_329614,PI_221651,PI_569452,PI_506114,PI_330185,PI_585467
Rw28,PI_156487,PI_506122,PI_570071,PI_569886,PI_569419,PI_569462,PI_267573,PI_570090,PI_563329,PI_562897,PI_156217,PI_570431,PI_330182,PI_506069,PI_153877,PI_330807,PI_510757,PI_329300,PI_563350,PI_563332,PI_570145,PI_154944,PI_152923,PI_329333,PI_570053,PI_303658,PI_329614,PI_221651,PI_569452,PI_506114,PI_330185,PI_585467
Rw29,PI_583832,PI_152730,PI_514456,PI_569447,PI_329699,PI_329256,PI_585461,PI_641909,PI_521019,PI_563355,PI_569460,PI_157030,PI_329644,PI_273465,PI_569421,PI_329440,PI_329394,PI_329510,PI_521280,PI_330169,PI_329506,PI_152967,PI_266927,PI_155149,PI_508366,PI_569455,PI_329865,PI_562998,PI_585608,PI_329465,PI_156871,PI_562991
Rw30,PI_583832,PI_152730,PI_514456,PI_569447,PI_329699,PI_329256,PI_585461,PI_641909,PI_521019,PI_563355,PI_569460,PI_157030,PI_329644,PI_273465,PI_569421,PI_329440,PI_329394,PI_329510,PI_521280,PI_330169,PI_329506,PI_152967,PI_266927,PI_155149,PI_508366,PI_569455,PI_329865,PI_562998,PI_585608,PI_329465,PI_156871,PI_562991
Rw31,PI_583832,PI_152730,PI_514456,PI_569447,PI_329699,PI_329256,PI_585461,PI_641909,PI_521019,PI_563355,PI_569460,PI_157030,PI_329644,PI_273465,PI_569421,PI_329440,PI_329394,PI_329510,PI_521280,PI_330169,PI_329506,PI_152967,PI_266927,PI_155149,PI_508366,PI_569455,PI_329865,PI_562998,PI_585608,PI_329465,PI_156871,PI_562991
Rw32,PI_583832,PI_152730,PI_514456,PI_569447,PI_329699,PI_329256,PI_585461,PI_641909,PI_521019,PI_563355,PI_569460,PI_157030,PI_329644,PI_273465,PI_569421,PI_329440,PI_329394,PI_329510,PI_521280,PI_330169,PI_329506,PI_152967,PI_266927,PI_155149,PI_508366,PI_569455,PI_329865,PI_562998,PI_585608,PI_329465,PI_156871,PI_562991
Rw33,CHECK,PI_585577,PI_330184,PI_329310,PI_330833,PI_569435,PI_585448,PI_152728,PI_570087,PI_329585,PI_569453,PI_157035,PI_569097,PI_329570,PI_329471,CHECK,PI_157033,PI_297130,PI_562997,PI_570371,PI_563032,PI_329864,PI_152591,PI_167093,PI_563020,CHECK,PI_330168,PI_257599,PI_569422,PI_562990,PI_570254,PI_570073
Rw34,CHECK,PI_585577,PI_330184,PI_329310,PI_330833,PI_569435,PI_585448,PI_152728,PI_570087,PI_329585,PI_569453,PI_157035,PI_569097,PI_329570,PI_329471,CHECK,PI_157033,PI_297130,PI_562997,PI_570371,PI_563032,PI_329864,PI_152591,PI_167093,PI_563020,CHECK,PI_330168,PI_257599,PI_569422,PI_562990,PI_570254,PI_570073
Rw35,CHECK,PI_585577,PI_330184,PI_329310,PI_330833,PI_569435,PI_585448,PI_152728,PI_570087,PI_329585,PI_569453,PI_157035,PI_569097,PI_329570,PI_329471,CHECK,PI_157033,PI_297130,PI_562997,PI_570371,PI_563032,PI_329864,PI_152591,PI_167093,PI_563020,CHECK,PI_330168,PI_257599,PI_569422,PI_562990,PI_570254,PI_570073
Rw36,CHECK,PI_585577,PI_330184,PI_329310,PI_330833,PI_569435,PI_585448,PI_152728,PI_570087,PI_329585,PI_569453,PI_157035,PI_569097,PI_329570,PI_329471,CHECK,PI_157033,PI_297130,PI_562997,PI_570371,PI_563032,PI_329864,PI_152591,PI_167093,PI_563020,CHECK,PI_330168,PI_257599,PI_569422,PI_562990,PI_570254,PI_570073
Rw37,PI_297171,PI_643016,PI_156326,PI_505722,PI_569416,PI_329517,PI_329584,PI_329710,PI_329665,PI_569465,PI_506030,PI_329550,PI_643008,PI_152961,PI_570031,PI_455307,PI_585452,PI_329326,PI_570096,PI_329711,PI_569445,PI_152963,PI_563295,PI_156268,PI_585954,PI_569443,PI_569420,PI_569427,PI_620157,PI_521152,PI_563338,PI_573193
Rw38,PI_297171,PI_643016,PI_156326,PI_505722,PI_569416,PI_329517,PI_329584,PI_329710,PI_329665,PI_569465,PI_506030,PI_329550,PI_643008,PI_152961,PI_570031,PI_455307,PI_585452,PI_329326,PI_570096,PI_329711,PI_569445,PI_152963,PI_563295,PI_156268,PI_585954,PI_569443,PI_569420,PI_569427,PI_620157,PI_521152,PI_563338,PI_573193
Rw39,PI_297171,PI_643016,PI_156326,PI_505722,PI_569416,PI_329517,PI_329584,PI_329710,PI_329665,PI_569465,PI_506030,PI_329550,PI_643008,PI_152961,PI_570031,PI_455307,PI_585452,PI_329326,PI_570096,PI_329711,PI_569445,PI_152963,PI_563295,PI_156268,PI_585954,PI_569443,PI_569420,PI_569427,PI_620157,PI_521152,PI_563338,PI_573193
Rw40,PI_297171,PI_643016,PI_156326,PI_505722,PI_569416,PI_329517,PI_329584,PI_329710,PI_329665,PI_569465,PI_506030,PI_329550,PI_643008,PI_152961,PI_570031,PI_455307,PI_585452,PI_329326,PI_570096,PI_329711,PI_569445,PI_152963,PI_563295,PI_156268,PI_585954,PI_569443,PI_569420,PI_569427,PI_620157,PI_521152,PI_563338,PI_573193
Rw41,PI_329511,PI_570106,PI_329518,PI_329519,PI_154844,PI_569264,PI_562982,PI_329615,PI_569454,PI_155516,PI_329338,PI_152751,PI_329301,PI_154987,PI_570047,PI_568717,PI_563196,PI_585454,PI_563348,PI_570373,PI_562970,PI_525049,PI_570114,PI_562985,PI_570091,PI_330196,PI_570038,PI_585961,PI_570075,PI_563330,PI_570110,PI_452619
Rw42,PI_329511,PI_570106,PI_329518,PI_329519,PI_154844,PI_569264,PI_562982,PI_329615,PI_569454,PI_155516,PI_329338,PI_152751,PI_329301,PI_154987,PI_570047,PI_568717,PI_563196,PI_585454,PI_563348,PI_570373,PI_562970,PI_525049,PI_570114,PI_562985,PI_570091,PI_330196,PI_570038,PI_585961,PI_570075,PI_563330,PI_570110,PI_452619
Rw43,PI_329511,PI_570106,PI_329518,PI_329519,PI_154844,PI_569264,PI_562982,PI_329615,PI_569454,PI_155516,PI_329338,PI_152751,PI_329301,PI_154987,PI_570047,PI_568717,PI_563196,PI_585454,PI_563348,PI_570373,PI_562970,PI_525049,PI_570114,PI_562985,PI_570091,PI_330196,PI_570038,PI_585961,PI_570075,PI_563330,PI_570110,PI_452619
Rw44,PI_329511,PI_570106,PI_329518,PI_329519,PI_154844,PI_569264,PI_562982,PI_329615,PI_569454,PI_155516,PI_329338,PI_152751,PI_329301,PI_154987,PI_570047,PI_568717,PI_563196,PI_585454,PI_563348,PI_570373,PI_562970,PI_525049,PI_570114,PI_562985,PI_570091,PI_330196,PI_570038,PI_585961,PI_570075,PI_563330,PI_570110,PI_452619
Rw45,PI_156330,PI_196049,PI_570400,PI_156203,CHECK,PI_329702,PI_570085,PI_569418,PI_329605,PI_585406,PI_329569,PI_337689,PI_569425,PI_569423,PI_569457,PI_452542,PI_585966,PI_156463,PI_646251,PI_276837,PI_329478,PI_563222,PI_569148,PI_329480,PI_329673,PI_329403,PI_329646,PI_330803,PI_330796,PI_152733,PI_155885,PI_329645
Rw46,PI_156330,PI_196049,PI_570400,PI_156203,CHECK,PI_329702,PI_570085,PI_569418,PI_329605,PI_585406,PI_329569,PI_337689,PI_569425,PI_569423,PI_569457,PI_452542,PI_585966,PI_156463,PI_646251,PI_276837,PI_329478,PI_563222,PI_569148,PI_329480,PI_329673,PI_329403,PI_329646,PI_330803,PI_330796,PI_152733,PI_155885,PI_329645
Rw47,PI_156330,PI_196049,PI_570400,PI_156203,CHECK,PI_329702,PI_570085,PI_569418,PI_329605,PI_585406,PI_329569,PI_337689,PI_569425,PI_569423,PI_569457,PI_452542,PI_585966,PI_156463,PI_646251,PI_276837,PI_329478,PI_563222,PI_569148,PI_329480,PI_329673,PI_329403,PI_329646,PI_330803,PI_330796,PI_152733,PI_155885,PI_329645
Rw48,PI_156330,PI_196049,PI_570400,PI_156203,CHECK,PI_329702,PI_570085,PI_569418,PI_329605,PI_585406,PI_329569,PI_337689,PI_569425,PI_569423,PI_569457,PI_452542,PI_585966,PI_156463,PI_646251,PI_276837,PI_329478,PI_563222,PI_569148,PI_329480,PI_329673,PI_329403,PI_329646,PI_330803,PI_330796,PI_152733,PI_155885,PI_329645
Rw49,PI_620072,PI_570042,PI_570076,PI_329841,PI_255239,PI_455221,PI_329286,PI_563009,PI_329319,PI_273969,PI_152816,PI_154846,PI_570393,PI_646242,PI_619807,PI_329351,PI_452692,PI_329541,PI_563331,PI_562781,PI_329466,PI_337680,PI_156178,PI_329473,PI_514456,PI_569422,PI_562971,PI_330807,PI_562982,PI_569423,PI_257600,PI_156178
Rw50,PI_620072,PI_570042,PI_570076,PI_329841,PI_255239,PI_455221,PI_329286,PI_563009,PI_329319,PI_273969,PI_152816,PI_154846,PI_570393,PI_646242,PI_619807,PI_329351,PI_452692,PI_329541,PI_563331,PI_562781,PI_329466,PI_337680,PI_156178,PI_329473,PI_514456,PI_569422,PI_562971,PI_330807,PI_562982,PI_569423,PI_257600,PI_156178
Rw51,PI_620072,PI_570042,PI_570076,PI_329841,PI_255239,PI_455221,PI_329286,PI_563009,PI_329319,PI_273969,PI_152816,PI_154846,PI_570393,PI_646242,PI_619807,PI_329351,PI_452692,PI_329541,PI_563331,PI_562781,PI_329466,PI_337680,PI_156178,PI_329473,PI_514456,PI_569422,PI_562971,PI_330807,PI_562982,PI_569423,PI_257600,PI_156178
Rw52,PI_620072,PI_570042,PI_570076,PI_329841,PI_255239,PI_455221,PI_329286,PI_563009,PI_329319,PI_273969,PI_152816,PI_154846,PI_570393,PI_646242,PI_619807,PI_329351,PI_452692,PI_329541,PI_563331,PI_562781,PI_329466,PI_337680,PI_156178,PI_329473,PI_514456,PI_569422,PI_562971,PI_330807,PI_562982,PI_569423,PI_257600,PI_156178
R2,RA1,RA2,RA3,RA4,RA5,RA6,RA7,RA8,RA9,RA10,RA11,RA12,RA13,RA14,RA15,RA16,RA17,RA18,RA19,RA20,RA21,RA22,RA23,RA24,RA25,RA26,RA27,RA28,RA29,RA30,RA31,RA32
Rw53,PI_455307,PI_569418,PI_303658,PI_152751,PI_563222,PI_337680,PI_329710,PI_157033,PI_329466,PI_569447,PI_562781,PI_513898,PI_569452,PI_506069,PI_563329,PI_562981,PI_521280,PI_330195,PI_585608,PI_152860,PI_570047,PI_330168,PI_267573,PI_568717,PI_569444,PI_329394,PI_525049,PI_156326,PI_330796,PI_646251,PI_329711,PI_569460
Rw54,PI_455307,PI_569418,PI_303658,PI_152751,PI_563222,PI_337680,PI_329710,PI_157033,PI_329466,PI_569447,PI_562781,PI_513898,PI_569452,PI_506069,PI_563329,PI_562981,PI_521280,PI_330195,PI_585608,PI_152860,PI_570047,PI_330168,PI_267573,PI_568717,PI_569444,PI_329394,PI_525049,PI_156326,PI_330796,PI_646251,PI_329711,PI_569460
Rw55,PI_455307,PI_569418,PI_303658,PI_152751,PI_563222,PI_337680,PI_329710,PI_157033,PI_329466,PI_569447,PI_562781,PI_513898,PI_569452,PI_506069,PI_563329,PI_562981,PI_521280,PI_330195,PI_585608,PI_152860,PI_570047,PI_330168,PI_267573,PI_568717,PI_569444,PI_329394,PI_525049,PI_156326,PI_330796,PI_646251,PI_329711,PI_569460
Rw56,PI_455307,PI_569418,PI_303658,PI_152751,PI_563222,PI_337680,PI_329710,PI_157033,PI_329466,PI_569447,PI_562781,PI_513898,PI_569452,PI_506069,PI_563329,PI_562981,PI_521280,PI_330195,PI_585608,PI_152860,PI_570047,PI_330168,PI_267573,PI_568717,PI_569444,PI_329394,PI_525049,PI_156326,PI_330796,PI_646251,PI_329711,PI_569460
Rw57,PI_329550,PI_455217,PI_455221,PI_562970,PI_569455,PI_330833,PI_521019,CHECK,PI_570031,PI_452542,PI_570109,PI_570074,PI_329333,PI_329841,PI_506122,PI_155885,PI_569097,PI_329286,PI_152591,PI_329546,PI_329351,PI_155516,PI_329615,PI_255239,PI_563355,PI_329644,PI_329864,PI_562732,PI_329569,PI_562897,PI_152961,PI_153877
Rw58,PI_329550,PI_455217,PI_455221,PI_562970,PI_569455,PI_330833,PI_521019,CHECK,PI_570031,PI_452542,PI_570109,PI_570074,PI_329333,PI_329841,PI_506122,PI_155885,PI_569097,PI_329286,PI_152591,PI_329546,PI_329351,PI_155516,PI_329615,PI_255239,PI_563355,PI_329644,PI_329864,PI_562732,PI_329569,PI_562897,PI_152961,PI_153877
Rw59,PI_329550,PI_455217,PI_455221,PI_562970,PI_569455,PI_330833,PI_521019,CHECK,PI_570031,PI_452542,PI_570109,PI_570074,PI_329333,PI_329841,PI_506122,PI_155885,PI_569097,PI_329286,PI_152591,PI_329546,PI_329351,PI_155516,PI_329615,PI_255239,PI_563355,PI_329644,PI_329864,PI_562732,PI_329569,PI_562897,PI_152961,PI_153877
Rw60,PI_329550,PI_455217,PI_455221,PI_562970,PI_569455,PI_330833,PI_521019,CHECK,PI_570031,PI_452542,PI_570109,PI_570074,PI_329333,PI_329841,PI_506122,PI_155885,PI_569097,PI_329286,PI_152591,PI_329546,PI_329351,PI_155516,PI_329615,PI_255239,PI_563355,PI_329644,PI_329864,PI_562732,PI_329569,PI_562897,PI_152961,PI_153877
Rw61,PI_563330,PI_563196,PI_329310,PI_453696,PI_569458,PI_330184,PI_329618,PI_570373,PI_156330,PI_152728,PI_570038,PI_570400,PI_329510,PI_329511,PI_455301,PI_569453,PI_329585,PI_329465,PI_646242,PI_569433,PI_329473,PI_562994,PI_329478,PI_329632,PI_329646,PI_563032,PI_273465,PI_563295,PI_569462,PI_330858,PI_257599,PI_569443
Rw62,PI_563330,PI_563196,PI_329310,PI_453696,PI_569458,PI_330184,PI_329618,PI_570373,PI_156330,PI_152728,PI_570038,PI_570400,PI_329510,PI_329511,PI_455301,PI_569453,PI_329585,PI_329465,PI_646242,PI_569433,PI_329473,PI_562994,PI_329478,PI_329632,PI_329646,PI_563032,PI_273465,PI_563295,PI_569462,PI_330858,PI_257599,PI_569443
Rw63,PI_563330,PI_563196,PI_329310,PI_453696,PI_569458,PI_330184,PI_329618,PI_570373,PI_156330,PI_152728,PI_570038,PI_570400,PI_329510,PI_329511,PI_455301,PI_569453,PI_329585,PI_329465,PI_646242,PI_569433,PI_329473,PI_562994,PI_329478,PI_329632,PI_329646,PI_563032,PI_273465,PI_563295,PI_569462,PI_330858,PI_257599,PI_569443
Rw64,PI_563330,PI_563196,PI_329310,PI_453696,PI_569458,PI_330184,PI_329618,PI_570373,PI_156330,PI_152728,PI_570038,PI_570400,PI_329510,PI_329511,PI_455301,PI_569453,PI_329585,PI_329465,PI_646242,PI_569433,PI_329473,PI_562994,PI_329478,PI_329632,PI_329646,PI_563032,PI_273465,PI_563295,PI_569462,PI_330858,PI_257599,PI_569443
Rw65,PI_570431,CHECK,PI_297130,PI_273969,PI_569420,PI_570254,PI_329299,PI_562998,PI_569264,PI_152967,PI_455280,PI_157035,PI_585954,PI_329403,PI_570075,PI_329471,PI_505722,PI_330182,PI_329843,PI_570085,PI_508366,PI_562991,PI_330196,CHECK,PI_569465,PI_329702,PI_329584,PI_585454,PI_196049,PI_569459,PI_521290,PI_569435
Rw66,PI_570431,CHECK,PI_297130,PI_273969,PI_569420,PI_570254,PI_329299,PI_562998,PI_569264,PI_152967,PI_455280,PI_157035,PI_585954,PI_329403,PI_570075,PI_329471,PI_505722,PI_330182,PI_329843,PI_570085,PI_508366,PI_562991,PI_330196,CHECK,PI_569465,PI_329702,PI_329584,PI_585454,PI_196049,PI_569459,PI_521290,PI_569435
Rw67,PI_570431,CHECK,PI_297130,PI_273969,PI_569420,PI_570254,PI_329299,PI_562998,PI_569264,PI_152967,PI_455280,PI_157035,PI_585954,PI_329403,PI_570075,PI_329471,PI_505722,PI_330182,PI_329843,PI_570085,PI_508366,PI_562991,PI_330196,CHECK,PI_569465,PI_329702,PI_329584,PI_585454,PI_196049,PI_569459,PI_521290,PI_569435
Rw68,PI_570431,CHECK,PI_297130,PI_273969,PI_569420,PI_570254,PI_329299,PI_562998,PI_569264,PI_152967,PI_455280,PI_157035,PI_585954,PI_329403,PI_570075,PI_329471,PI_505722,PI_330182,PI_329843,PI_570085,PI_508366,PI_562991,PI_330196,CHECK,PI_569465,PI_329702,PI_329584,PI_585454,PI_196049,PI_569459,PI_521290,PI_569435
Rw69,PI_506030,PI_563002,PI_329338,PI_297171,PI_152963,PI_329301,PI_583832,PI_329319,PI_585467,PI_570110,PI_569416,PI_619807,PI_643008,PI_569425,PI_585406,PI_452692,PI_156217,PI_569886,PI_620072,PI_570371,PI_329614,PI_570393,PI_570042,PI_154846,PI_563006,PI_329440,PI_329541,PI_154750,PI_330181,PI_329865,PI_569421,PI_156203
Rw70,PI_506030,PI_563002,PI_329338,PI_297171,PI_152963,PI_329301,PI_583832,PI_329319,PI_585467,PI_570110,PI_569416,PI_619807,PI_643008,PI_569425,PI_585406,PI_452692,PI_156217,PI_569886,PI_620072,PI_570371,PI_329614,PI_570393,PI_570042,PI_154846,PI_563006,PI_329440,PI_329541,PI_154750,PI_330181,PI_329865,PI_569421,PI_156203
Rw71,PI_506030,PI_563002,PI_329338,PI_297171,PI_152963,PI_329301,PI_583832,PI_329319,PI_585467,PI_570110,PI_569416,PI_619807,PI_643008,PI_569425,PI_585406,PI_452692,PI_156217,PI_569886,PI_620072,PI_570371,PI_329614,PI_570393,PI_570042,PI_154846,PI_563006,PI_329440,PI_329541,PI_154750,PI_330181,PI_329865,PI_569421,PI_156203
